SLAB ID,Timepoint,Aquaria,Tank,Species,Treatment,Temperature,Blue_Tank,NPOC_mg_L,TN_mg_L,NPOC_uM,TN_uM
1,T1,P-A3,Aquaria,Porites,Guano,Ambient,PA,1.424,0.104,118.53,7.45
2,T1,P-A5,Aquaria,Porites,Control,Ambient,PA,1.274,0.083,106.04,5.91
3,T1,P-A7,Aquaria,Porites,Inorganic,Ambient,PA,1.33,0.078,110.71,5.54
4,T1,P-A11,Aquaria,Porites,Effluent,Ambient,PA,1.307,0.078,108.79,5.56
5,T1,P-H3,Aquaria,Porites,Guano,Heat,PH,1.382,0.092,115.03,6.57
6,T1,P-H5,Aquaria,Porites,Control,Heat,PH,1.278,0.087,106.38,6.22
7,T1,P-H7,Aquaria,Porites,Inorganic,Heat,PH,1.359,0.086,113.12,6.11
8,T1,P-H11,Aquaria,Porites,Effluent,Heat,PH,1.337,0.081,111.29,5.79
9,T1,M-A3,Aquaria,Montipora,Guano,Ambient,MA,1.47,0.091,122.36,6.46
10,T1,M-A5,Aquaria,Montipora,Control,Ambient,MA,1.474,0.084,122.69,6.01
11,T1,M-A7,Aquaria,Montipora,Inorganic,Ambient,MA,1.46,0.083,121.53,5.91
12,T1,M-A11,Aquaria,Montipora,Effluent,Ambient,MA,1.606,0.076,133.68,5.4
13,T1,M-H3,Aquaria,Montipora,Guano,Heat,MH,1.401,0.097,116.62,6.94
14,T1,M-H5,Aquaria,Montipora,Control,Heat,MH,1.42,0.086,118.2,6.13
15,T1,M-H7,Aquaria,Montipora,Inorganic,Heat,MH,1.364,0.08,113.54,5.7
16,T1,M-H11,Aquaria,Montipora,Effluent,Heat,MH,1.359,0.089,113.12,6.33
17,T1,P-Dosing,Dosing,Porites,Guano,Ambient,PD,1.37,1.143,114.04,81.59
18,T1,P-Dosing,Dosing,Porites,Control,Ambient,PD,1.091,0.081,90.81,5.79
19,T1,P-Dosing,Dosing,Porites,Inorganic,Ambient,PD,1.069,0.511,88.97,36.46
20,T1,P-Dosing,Dosing,Porites,Effluent,Ambient,PD,1.145,1.008,95.3,71.95
21,T1,M-Dosing,Dosing,Montipora,Guano,Ambient,MD,1.378,1.08,114.7,77.09
22,T1,M-Dosing,Dosing,Montipora,Control,Ambient,MD,1.346,0.111,112.04,7.91
23,T1,M-Dosing,Dosing,Montipora,Inorganic,Ambient,MD,1.202,0.541,100.05,38.66
24,T1,M-Dosing,Dosing,Montipora,Effluent,Ambient,MD,1.719,1.142,143.09,81.52
25,T2,P-A3,Aquaria,Porites,Guano,Ambient,PA,1.381,0.1,114.95,7.16
26,T2,P-A5,Aquaria,Porites,Control,Ambient,PA,1.305,0.091,108.62,6.47
27,T2,P-A7,Aquaria,Porites,Inorganic,Ambient,PA,1.363,0.085,113.45,6.09
28,T2,P-A11,Aquaria,Porites,Effluent,Ambient,PA,1.407,0.1,117.12,7.11
29,T2,P-H3,Aquaria,Porites,Guano,Heat,PH,1.549,0.115,128.94,8.18
30,T2,P-H5,Aquaria,Porites,Control,Heat,PH,1.414,0.101,117.7,7.21
31,T2,P-H7,Aquaria,Porites,Inorganic,Heat,PH,2.267,0.192,188.72,13.68
32,T2,P-H11,Aquaria,Porites,Effluent,Heat,PH,1.524,0.109,126.86,7.79
33,T2,M-A3,Aquaria,Montipora,Guano,Ambient,MA,1.627,0.109,135.43,7.77
34,T2,M-A5,Aquaria,Montipora,Control,Ambient,MA,1.356,0.085,112.87,6.07
35,T2,M-A7,Aquaria,Montipora,Inorganic,Ambient,MA,1.499,0.096,124.78,6.86
36,T2,M-A11,Aquaria,Montipora,Effluent,Ambient,MA,1.591,0.106,132.44,7.55
37,T2,M-H3,Aquaria,Montipora,Guano,Heat,MH,1.857,0.166,154.58,11.86
38,T2,M-H5,Aquaria,Montipora,Control,Heat,MH,1.83,0.127,152.34,9.08
39,T2,M-H7,Aquaria,Montipora,Inorganic,Heat,MH,1.558,0.103,129.69,7.33
40,T2,M-H11,Aquaria,Montipora,Effluent,Heat,MH,1.894,0.143,157.66,10.24
41,T2,P-Dosing,Dosing,Porites,Guano,Ambient,PD,1.409,1.268,117.28,90.52
42,T2,P-Dosing,Dosing,Porites,Control,Ambient,PD,1.078,0.107,89.72,7.63
43,T2,P-Dosing,Dosing,Porites,Inorganic,Ambient,PD,1.72,0.578,143.18,41.24
44,T2,P-Dosing,Dosing,Porites,Effluent,Ambient,PD,1.336,1.146,111.21,81.81
45,T2,M-Dosing,Dosing,Montipora,Guano,Ambient,MD,1.797,1.038,149.59,74.1
46,T2,M-Dosing,Dosing,Montipora,Control,Ambient,MD,2.555,0.109,212.7,7.76
47,T2,M-Dosing,Dosing,Montipora,Inorganic,Ambient,MD,1.238,0.42,103.05,30.02
48,T2,M-Dosing,Dosing,Montipora,Effluent,Ambient,MD,1.706,1.051,142.01,75.02
49,T3,P-A3,Aquaria,Porites,Guano,Ambient,PA,1.496,0.106,124.53,7.56
50,T3,P-A5,Aquaria,Porites,Control,Ambient,PA,1.547,0.107,128.77,7.61
51,T3,P-A7,Aquaria,Porites,Inorganic,Ambient,PA,1.714,0.186,142.71,13.25
52,T3,P-A11,Aquaria,Porites,Effluent,Ambient,PA,1.523,0.18,126.8,12.85
