Genotype,Species,Frag_ID,Temperature,PAM_value
1,Montipora,M-1-6,27,0.423
1,Montipora,M-1-9,27,0.43
1,Montipora,M-1-10,27,0.431
1,Montipora,M-1-3,30,0.439
1,Montipora,M-1-8,30,0.433
1,Montipora,M-1-12,30,0.426
1,Montipora,M-1-2,33,0.371
1,Montipora,M-1-4,33,0.4
1,Montipora,M-1-7,33,0.371
1,Montipora,M-1-1,36,0.216
1,Montipora,M-1-5,36,0.227
1,Montipora,M-1-11,36,0.224
2,Montipora,M-2-5,27,0.427
2,Montipora,M-2-7,27,0.425
2,Montipora,M-2-10,27,0.404
2,Montipora,M-2-9,30,0.398
2,Montipora,M-2-11,30,0.418
2,Montipora,M-2-12,30,0.404
2,Montipora,M-2-4,33,0.417
2,Montipora,M-2-6,33,0.385
2,Montipora,M-2-2,36,0.153
2,Montipora,M-2-3,36,0.164
2,Montipora,M-2-8,36,0.132
3,Montipora,M-3-2,27,0.465
3,Montipora,M-3-10,27,0.129
3,Montipora,M-3-12,27,0.085
3,Montipora,M-3-7,30,0.461
3,Montipora,M-3-8,30,0.473
3,Montipora,M-3-11,30,0.291
3,Montipora,M-3-3,33,0.418
3,Montipora,M-3-5,33,0.349
3,Montipora,M-3-9,33,0.37
3,Montipora,M-3-1,36,0.102
3,Montipora,M-3-4,36,0.123
3,Montipora,M-3-6,36,0.162
4,Montipora,M-4-4,27,0.459
4,Montipora,M-4-8,27,0.273
4,Montipora,M-4-9,27,NA
4,Montipora,M-4-2,30,0.379
4,Montipora,M-4-7,30,0.42
4,Montipora,M-4-12,30,0.466
4,Montipora,M-4-6,33,0.37
4,Montipora,M-4-10,33,0.363
4,Montipora,M-4-11,33,0.393
4,Montipora,M-4-1,36,0.263
4,Montipora,M-4-3,36,0.189
4,Montipora,M-4-5,36,0.223
5,Montipora,M-5-4,27,0.412
5,Montipora,M-5-5,27,0.399
5,Montipora,M-5-9,27,0.417
5,Montipora,M-5-2,30,0.429
5,Montipora,M-5-3,30,0.416
5,Montipora,M-5-10,30,0.414
5,Montipora,M-5-1,33,0.379
5,Montipora,M-5-6,33,0.374
5,Montipora,M-5-11,33,0.389
5,Montipora,M-5-7,36,0.195
5,Montipora,M-5-8,36,0.163
5,Montipora,M-5-12,36,0.181
6,Montipora,M-6-2,27,0.414
6,Montipora,M-6-5,27,0.427
6,Montipora,M-6-8,27,0.423
6,Montipora,M-6-4,30,0.402
6,Montipora,M-6-9,30,0.404
6,Montipora,M-6-12,30,0.421
6,Montipora,M-6-3,33,0.404
6,Montipora,M-6-6,33,0.388
6,Montipora,M-6-7,33,0.377
6,Montipora,M-6-1,36,0.195
6,Montipora,M-6-10,36,0.204
6,Montipora,M-6-11,36,0.182
