Date,Time,Tank,Species,PAR
7/24/2023,0:15,MCAP AMB,Montipora,0
7/24/2023,0:30,MCAP AMB,Montipora,0
7/24/2023,0:45,MCAP AMB,Montipora,0
7/24/2023,1:00,MCAP AMB,Montipora,0
7/24/2023,1:15,MCAP AMB,Montipora,0
7/24/2023,1:30,MCAP AMB,Montipora,0
7/24/2023,1:45,MCAP AMB,Montipora,0
7/24/2023,2:00,MCAP AMB,Montipora,0
7/24/2023,2:15,MCAP AMB,Montipora,0
7/24/2023,2:30,MCAP AMB,Montipora,0
7/24/2023,2:45,MCAP AMB,Montipora,0
7/24/2023,3:00,MCAP AMB,Montipora,0
7/24/2023,3:15,MCAP AMB,Montipora,0
7/24/2023,3:30,MCAP AMB,Montipora,0
7/24/2023,3:45,MCAP AMB,Montipora,0
7/24/2023,4:00,MCAP AMB,Montipora,0
7/24/2023,4:15,MCAP AMB,Montipora,0
7/24/2023,4:30,MCAP AMB,Montipora,0
7/24/2023,4:45,MCAP AMB,Montipora,0
7/24/2023,5:00,MCAP AMB,Montipora,0
7/24/2023,5:15,MCAP AMB,Montipora,0
7/24/2023,5:30,MCAP AMB,Montipora,0
7/24/2023,5:45,MCAP AMB,Montipora,0
7/24/2023,6:00,MCAP AMB,Montipora,0
7/24/2023,6:15,MCAP AMB,Montipora,1.7
7/24/2023,6:30,MCAP AMB,Montipora,5.9
7/24/2023,6:45,MCAP AMB,Montipora,10.8
7/24/2023,7:00,MCAP AMB,Montipora,14.3
7/24/2023,7:15,MCAP AMB,Montipora,21
7/24/2023,7:30,MCAP AMB,Montipora,26.8
7/24/2023,7:45,MCAP AMB,Montipora,123.2
7/24/2023,8:00,MCAP AMB,Montipora,150.1
7/24/2023,8:15,MCAP AMB,Montipora,148.3
7/24/2023,8:30,MCAP AMB,Montipora,176.1
7/24/2023,8:45,MCAP AMB,Montipora,260.4
7/24/2023,9:00,MCAP AMB,Montipora,93
7/24/2023,9:15,MCAP AMB,Montipora,99
7/24/2023,9:30,MCAP AMB,Montipora,103
7/24/2023,9:45,MCAP AMB,Montipora,171.8
7/24/2023,10:00,MCAP AMB,Montipora,61.9
7/24/2023,10:15,MCAP AMB,Montipora,196.9
7/24/2023,10:30,MCAP AMB,Montipora,431
7/24/2023,10:45,MCAP AMB,Montipora,178.1
7/24/2023,11:00,MCAP AMB,Montipora,103.1
7/24/2023,11:15,MCAP AMB,Montipora,112.3
7/24/2023,11:30,MCAP AMB,Montipora,148.5
7/24/2023,11:45,MCAP AMB,Montipora,96.7
7/24/2023,12:00,MCAP AMB,Montipora,96.3
7/24/2023,12:15,MCAP AMB,Montipora,113
7/24/2023,12:30,MCAP AMB,Montipora,84.8
7/24/2023,12:45,MCAP AMB,Montipora,82
7/24/2023,13:00,MCAP AMB,Montipora,72
7/24/2023,13:15,MCAP AMB,Montipora,92.1
7/24/2023,13:30,MCAP AMB,Montipora,133.8
7/24/2023,13:45,MCAP AMB,Montipora,140.4
7/24/2023,14:00,MCAP AMB,Montipora,119.6
7/24/2023,14:15,MCAP AMB,Montipora,137.5
7/24/2023,14:30,MCAP AMB,Montipora,131.4
7/24/2023,14:45,MCAP AMB,Montipora,138.9
7/24/2023,15:00,MCAP AMB,Montipora,179.4
7/24/2023,15:15,MCAP AMB,Montipora,141
7/24/2023,15:30,MCAP AMB,Montipora,119.2
7/24/2023,15:45,MCAP AMB,Montipora,142.1
7/24/2023,16:00,MCAP AMB,Montipora,73.6
7/24/2023,16:15,MCAP AMB,Montipora,79
7/24/2023,16:30,MCAP AMB,Montipora,79.2
7/24/2023,16:45,MCAP AMB,Montipora,108.3
7/24/2023,17:00,MCAP AMB,Montipora,159.2
7/24/2023,17:15,MCAP AMB,Montipora,123.2
7/24/2023,17:30,MCAP AMB,Montipora,50.8
7/24/2023,17:45,MCAP AMB,Montipora,27.1
7/24/2023,18:00,MCAP AMB,Montipora,20.7
7/24/2023,18:15,MCAP AMB,Montipora,15
7/24/2023,18:30,MCAP AMB,Montipora,13.7
7/24/2023,18:45,MCAP AMB,Montipora,12.1
7/24/2023,19:00,MCAP AMB,Montipora,7.2
7/24/2023,19:15,MCAP AMB,Montipora,2.1
7/24/2023,19:30,MCAP AMB,Montipora,0.3
7/24/2023,19:45,MCAP AMB,Montipora,0
7/24/2023,20:00,MCAP AMB,Montipora,0
7/24/2023,20:15,MCAP AMB,Montipora,0
7/24/2023,20:30,MCAP AMB,Montipora,0
7/24/2023,20:45,MCAP AMB,Montipora,0
7/24/2023,21:00,MCAP AMB,Montipora,0
7/24/2023,21:15,MCAP AMB,Montipora,0
7/24/2023,21:30,MCAP AMB,Montipora,0
7/24/2023,21:45,MCAP AMB,Montipora,0
7/24/2023,22:00,MCAP AMB,Montipora,0
7/24/2023,22:15,MCAP AMB,Montipora,0
7/24/2023,22:30,MCAP AMB,Montipora,0
7/24/2023,22:45,MCAP AMB,Montipora,0
7/24/2023,23:00,MCAP AMB,Montipora,0
7/24/2023,23:15,MCAP AMB,Montipora,0
7/24/2023,23:30,MCAP AMB,Montipora,0
7/24/2023,23:45,MCAP AMB,Montipora,0
7/24/2023,0:00,MCAP AMB,Montipora,0
7/25/2023,0:15,MCAP AMB,Montipora,0
7/25/2023,0:30,MCAP AMB,Montipora,0
7/25/2023,0:45,MCAP AMB,Montipora,0
7/25/2023,1:00,MCAP AMB,Montipora,0
7/25/2023,1:15,MCAP AMB,Montipora,0
