Date,Time,Date_Time,Timepoint,Tank,PAR
7/19/2023,0:15:00,7/19/2023 0:15,1,MCAP AMB,0
7/19/2023,0:30:00,7/19/2023 0:30,2,MCAP AMB,0
7/19/2023,0:45:00,7/19/2023 0:45,3,MCAP AMB,0
7/19/2023,1:00:00,7/19/2023 1:00,4,MCAP AMB,0
7/19/2023,1:15:00,7/19/2023 1:15,5,MCAP AMB,0
7/19/2023,1:30:00,7/19/2023 1:30,6,MCAP AMB,0
7/19/2023,1:45:00,7/19/2023 1:45,7,MCAP AMB,0
7/19/2023,2:00:00,7/19/2023 2:00,8,MCAP AMB,0
7/19/2023,2:15:00,7/19/2023 2:15,9,MCAP AMB,0
7/19/2023,2:30:00,7/19/2023 2:30,10,MCAP AMB,0
7/19/2023,2:45:00,7/19/2023 2:45,11,MCAP AMB,0
7/19/2023,3:00:00,7/19/2023 3:00,12,MCAP AMB,0
7/19/2023,3:15:00,7/19/2023 3:15,13,MCAP AMB,0
7/19/2023,3:30:00,7/19/2023 3:30,14,MCAP AMB,0
7/19/2023,3:45:00,7/19/2023 3:45,15,MCAP AMB,0
7/19/2023,4:00:00,7/19/2023 4:00,16,MCAP AMB,0
7/19/2023,4:15:00,7/19/2023 4:15,17,MCAP AMB,0
7/19/2023,4:30:00,7/19/2023 4:30,18,MCAP AMB,0
7/19/2023,4:45:00,7/19/2023 4:45,19,MCAP AMB,0
7/19/2023,5:00:00,7/19/2023 5:00,20,MCAP AMB,0
7/19/2023,5:15:00,7/19/2023 5:15,21,MCAP AMB,0
7/19/2023,5:30:00,7/19/2023 5:30,22,MCAP AMB,0
7/19/2023,5:45:00,7/19/2023 5:45,23,MCAP AMB,0
7/19/2023,6:00:00,7/19/2023 6:00,24,MCAP AMB,0
7/19/2023,6:15:00,7/19/2023 6:15,25,MCAP AMB,1.5
7/19/2023,6:30:00,7/19/2023 6:30,26,MCAP AMB,2.6
7/19/2023,6:45:00,7/19/2023 6:45,27,MCAP AMB,5
7/19/2023,7:00:00,7/19/2023 7:00,28,MCAP AMB,5.1
7/19/2023,7:15:00,7/19/2023 7:15,29,MCAP AMB,8.5
7/19/2023,7:30:00,7/19/2023 7:30,30,MCAP AMB,9.5
7/19/2023,7:45:00,7/19/2023 7:45,31,MCAP AMB,15.7
7/19/2023,8:00:00,7/19/2023 8:00,32,MCAP AMB,23
7/19/2023,8:15:00,7/19/2023 8:15,33,MCAP AMB,34.5
7/19/2023,8:30:00,7/19/2023 8:30,34,MCAP AMB,26.3
7/19/2023,8:45:00,7/19/2023 8:45,35,MCAP AMB,39
7/19/2023,9:00:00,7/19/2023 9:00,36,MCAP AMB,59.5
