Frag_ID,Timepoint,Exp_days,Date,Species,Genotype,Treatment,Temp_trt,Wet_weight.g,Temp,Conductivity,Salinity
M-1-1,T0,1,7/20/2023,Montipora,1,Control,Ambient,9.34,26.4,53.1,35.10827311
M-1-10,T0,1,7/20/2023,Montipora,1,Inorganic,Heated,8.349,25.1,53,35.03635669
M-1-11,T0,1,7/20/2023,Montipora,1,Guano,Ambient,9.389,26.4,53.1,35.10827311
M-1-12,T0,1,7/20/2023,Montipora,1,Guano,Ambient,8.708,26.4,53.1,35.10827311
M-1-15,T0,1,7/20/2023,Montipora,1,Guano,Heated,8.647,25.1,53,35.03635669
M-1-16,T0,1,7/20/2023,Montipora,1,Effluent,Ambient,10.252,26.4,53.1,35.10827311
M-1-17,T0,1,7/20/2023,Montipora,1,Effluent,Ambient,8.36,26.4,53.1,35.10827311
M-1-2,T0,1,7/20/2023,Montipora,1,Control,Ambient,8.604,26.4,53.1,35.10827311
M-1-20,T0,1,7/20/2023,Montipora,1,Effluent,Heated,8.473,25.1,53,35.03635669
M-1-22,T0,1,7/20/2023,Montipora,1,Control,Heated,8.453,25.1,53,35.03635669
M-1-23,T0,1,7/20/2023,Montipora,1,Inorganic,Heated,8.165,25.1,53,35.03635669
M-1-24,T0,1,7/20/2023,Montipora,1,Guano,Heated,7.305,25.1,53,35.03635669
M-1-25,T0,1,7/20/2023,Montipora,1,Effluent,Heated,8.794,25.1,53,35.03635669
M-1-5,T0,1,7/20/2023,Montipora,1,Control,Heated,10.094,25.1,53,35.03635669
M-1-6,T0,1,7/20/2023,Montipora,1,Inorganic,Ambient,8.303,26.4,53.1,35.10827311
M-1-7,T0,1,7/20/2023,Montipora,1,Inorganic,Ambient,8.511,26.4,53.1,35.10827311
M-2-1,T0,1,7/20/2023,Montipora,2,Control,Ambient,8.862,26.4,53.1,35.10827311
M-2-10,T0,1,7/20/2023,Montipora,2,Inorganic,Heated,8.833,25.1,53,35.03635669
M-2-11,T0,1,7/20/2023,Montipora,2,Guano,Ambient,8.977,26.4,53.1,35.10827311
M-2-12,T0,1,7/20/2023,Montipora,2,Guano,Ambient,8.281,26.4,53.1,35.10827311
M-2-15,T0,1,7/20/2023,Montipora,2,Guano,Heated,8.474,25.1,53,35.03635669
M-2-16,T0,1,7/20/2023,Montipora,2,Effluent,Ambient,8.051,26.4,53.1,35.10827311
M-2-17,T0,1,7/20/2023,Montipora,2,Effluent,Ambient,9.559,26.4,53.1,35.10827311
M-2-2,T0,1,7/20/2023,Montipora,2,Control,Ambient,8.158,26.4,53.1,35.10827311
M-2-20,T0,1,7/20/2023,Montipora,2,Effluent,Heated,9.17,25.1,53,35.03635669
M-2-22,T0,1,7/20/2023,Montipora,2,Control,Heated,9.117,25.1,53,35.03635669
M-2-23,T0,1,7/20/2023,Montipora,2,Inorganic,Heated,8.678,25.1,53,35.03635669
M-2-24,T0,1,7/20/2023,Montipora,2,Guano,Heated,8.152,25.1,53,35.03635669
M-2-25,T0,1,7/20/2023,Montipora,2,Effluent,Heated,8.29,25.1,53,35.03635669
M-2-5,T0,1,7/20/2023,Montipora,2,Control,Heated,8,25.1,53,35.03635669
M-2-6,T0,1,7/20/2023,Montipora,2,Inorganic,Ambient,9.181,26.4,53.1,35.10827311
M-2-7,T0,1,7/20/2023,Montipora,2,Inorganic,Ambient,7.829,26.4,53.1,35.10827311
M-3-1,T0,1,7/20/2023,Montipora,3,Control,Ambient,9.013,26.4,53.1,35.10827311
M-3-10,T0,1,7/20/2023,Montipora,3,Inorganic,Heated,8.055,25.1,53,35.03635669
M-3-11,T0,1,7/20/2023,Montipora,3,Guano,Ambient,8.292,26.4,53.1,35.10827311
M-3-12,T0,1,7/20/2023,Montipora,3,Guano,Ambient,7.926,26.4,53.1,35.10827311
M-3-15,T0,1,7/20/2023,Montipora,3,Guano,Heated,8.015,25.1,53,35.03635669
M-3-16,T0,1,7/20/2023,Montipora,3,Effluent,Ambient,8.165,26.4,53.1,35.10827311
M-3-17,T0,1,7/20/2023,Montipora,3,Effluent,Ambient,8.156,26.4,53.1,35.10827311
M-3-2,T0,1,7/20/2023,Montipora,3,Control,Ambient,7.897,26.4,53.1,35.10827311
