"","Frag_ID","Timepoint","Exp_days","Date","Species","Genotype","Treatment","Temp_trt","Wet_weight.g","Temp","Conductivity","Salinity","Sw_dens","Skel_dens","Dry_weight.g","Delta_weight.g","Surface_area.cm2","Delta_wt_g..cm2"
"1","M-1-1","T0",1,2023-07-20,"Montipora","1","Control","Ambient",9.34,26.4,53.1,35.10827311,1.02298963340838,2.93,14.3503152785222,0,35.29378531," 0.0000000000"
"2","M-1-1","T3",79,2023-10-06,"Montipora","1","Control","Ambient",9.8095,24.3,53.3,35.25214161,1.02374293978727,2.93,15.0776280911413,0.727312812619111,35.29378531," 0.0206073904"
"3","M-1-10","T0",1,2023-07-20,"Montipora","1","Inorganic","Heated",8.349,25.1,53,35.03635669,1.02333824895522,2.93,12.8300523082269,0,26.61920904," 0.0000000000"
"4","M-1-10","T3",79,2023-10-06,"Montipora","1","Inorganic","Heated",8.4575,25.7,53.2,35.18020143,1.02326252680064,2.93,12.9962699890826,0.166217680855629,26.61920904," 0.0062442757"
"5","M-1-11","T0",1,2023-07-20,"Montipora","1","Guano","Ambient",9.389,26.4,53.1,35.10827311,1.02298963340838,2.93,14.4256006584631,0,40.05141243," 0.0000000000"
"6","M-1-11","T3",79,2023-10-06,"Montipora","1","Guano","Ambient",9.8945,27.1,52.9,34.96445218,1.02265899386428,2.93,15.1996338917578,0.774033233294775,40.05141243," 0.0193259909"
"7","M-1-12","T0",1,2023-07-20,"Montipora","1","Guano","Ambient",8.708,26.4,53.1,35.10827311,1.02298963340838,2.93,13.3792875209177,0,34.0819209," 0.0000000000"
"8","M-1-12","T3",79,2023-10-06,"Montipora","1","Guano","Ambient",9.1795,27.1,52.9,34.96445218,1.02265899386428,2.93,14.1012723542767,0.721984833359016,34.0819209," 0.0211838070"
"9","M-1-15","T0",1,2023-07-20,"Montipora","1","Guano","Heated",8.647,25.1,53,35.03635669,1.02333824895522,2.93,13.2879940482978,0,30.32570621," 0.0000000000"
"10","M-1-15","T3",79,2023-10-06,"Montipora","1","Guano","Heated",8.9385,25.7,53.2,35.18020143,1.02326252680064,2.93,13.7354016313821,0.447407583084349,30.32570621," 0.0147534102"
"11","M-1-16","T0",1,2023-07-20,"Montipora","1","Effluent","Ambient",10.252,26.4,53.1,35.10827311,1.02298963340838,2.93,15.7515452072173,0,41.98615819," 0.0000000000"
"12","M-1-16","T3",79,2023-10-06,"Montipora","1","Effluent","Ambient",11.1625,25.9,52.9,34.96445218,1.02303762439726,2.93,17.1509020935259,1.39935688630854,41.98615819," 0.0333290052"
"13","M-1-17","T0",1,2023-07-20,"Montipora","1","Effluent","Ambient",8.36,26.4,53.1,35.10827311,1.02298963340838,2.93,12.8446076797051,0,30.44717514," 0.0000000000"
"14","M-1-17","T3",79,2023-10-06,"Montipora","1","Effluent","Ambient",8.8185,25.9,52.9,34.96445218,1.02303762439726,2.93,13.5494047132594,0.704797033554264,30.44717514," 0.0231481913"
"15","M-1-2","T0",1,2023-07-20,"Montipora","1","Control","Ambient",8.604,26.4,53.1,35.10827311,1.02298963340838,2.93,13.2194981430841,0,25.6920904," 0.0000000000"
"16","M-1-2","T3",79,2023-10-06,"Montipora","1","Control","Ambient",8.8815,24.3,53.3,35.25214161,1.02374293978727,2.93,13.6512517346931,0.431753591609011,25.6920904," 0.0168049226"
"17","M-1-20","T0",1,2023-07-20,"Montipora","1","Effluent","Heated",8.473,25.1,53,35.03635669,1.02333824895522,2.93,13.0206052470484,0,25.3539548," 0.0000000000"
"18","M-1-20","T3",79,2023-10-06,"Montipora","1","Effluent","Heated",8.6745,26.3,53,35.03635669,1.02296685599674,2.93,13.3276577179178,0.307052470869415,25.3539548," 0.0121106342"
"19","M-1-22","T0",1,2023-07-20,"Montipora","1","Control","Heated",8.453,25.1,53,35.03635669,1.02333824895522,2.93,12.9898709020772,0,21.79830508," 0.0000000000"
"20","M-1-22","T3",79,2023-10-06,"Montipora","1","Control","Heated",8.4875,26.3,53,35.03635669,1.02296685599674,2.93,13.0403475567269,0.0504766546496977,21.79830508," 0.0023156229"
"21","M-1-23","T0",1,2023-07-20,"Montipora","1","Inorganic","Heated",8.165,25.1,53,35.03635669,1.02333824895522,2.93,12.5472963344919,0,23.57457627," 0.0000000000"
"22","M-1-23","T3",79,2023-10-06,"Montipora","1","Inorganic","Heated",8.1875,25.7,53.2,35.18020143,1.02326252680064,2.93,12.5813728094133,0.0340764749214557,23.57457627," 0.0014454756"
"23","M-1-24","T0",1,2023-07-20,"Montipora","1","Guano","Heated",7.305,25.1,53,35.03635669,1.02333824895522,2.93,11.2257195007303,0,18.69887006," 0.0000000000"
"24","M-1-24","T3",79,2023-10-06,"Montipora","1","Guano","Heated",7.3635,25.7,53.2,35.18020143,1.02326252680064,2.93,11.3151680833118,0.0894485825814328,18.69887006," 0.0047836357"
"25","M-1-25","T0",1,2023-07-20,"Montipora","1","Effluent","Heated",8.794,25.1,53,35.03635669,1.02333824895522,2.93,13.5138914838361,0,27.41525424," 0.0000000000"
"26","M-1-25","T3",79,2023-10-06,"Montipora","1","Effluent","Heated",8.8895,26.3,53,35.03635669,1.02296685599674,2.93,13.6579875823886,0.144096098552518,27.41525424," 0.0052560555"
"27","M-1-5","T0",1,2023-07-20,"Montipora","1","Control","Heated",10.094,25.1,53,35.03635669,1.02333824895522,2.93,15.511623906964,0,38.10875706," 0.0000000000"
"28","M-1-5","T3",79,2023-10-06,"Montipora","1","Control","Heated",10.2735,26.3,53,35.03635669,1.02296685599674,2.93,15.7843900587963,0.272766151832254,38.10875706," 0.0071575715"
"29","M-1-6","T0",1,2023-07-20,"Montipora","1","Inorganic","Ambient",8.303,26.4,53.1,35.10827311,1.02298963340838,2.93,12.7570308091617,0,30.88135593," 0.0000000000"
"30","M-1-6","T3",79,2023-10-06,"Montipora","1","Inorganic","Ambient",8.8195,27.1,52.9,34.96445218,1.02265899386428,2.93,13.5482511605799,0.79122035141828,30.88135593," 0.0256212957"
"31","M-1-7","T0",1,2023-07-20,"Montipora","1","Inorganic","Ambient",8.511,26.4,53.1,35.10827311,1.02298963340838,2.93,13.076609564829,0,28.24491525," 0.0000000000"
"32","M-1-7","T3",79,2023-10-06,"Montipora","1","Inorganic","Ambient",8.7555,27.1,52.9,34.96445218,1.02265899386428,2.93,13.4499362817005,0.373326716871551,28.24491525," 0.0132174841"
"33","M-2-1","T0",1,2023-07-20,"Montipora","2","Control","Ambient",8.862,26.4,53.1,35.10827311,1.02298963340838,2.93,13.6158987150175,0,38.42033898," 0.0000000000"
"34","M-2-1","T3",79,2023-10-06,"Montipora","2","Control","Ambient",9.6645,24.3,53.3,35.25214161,1.02374293978727,2.93,14.8547567854463,1.23885807042874,38.42033898," 0.0322448501"
"35","M-2-10","T0",1,2023-07-20,"Montipora","2","Inorganic","Heated",8.833,25.1,53,35.03635669,1.02333824895522,2.93,13.5738234565299,0,37.5680791," 0.0000000000"
"36","M-2-10","T3",79,2023-10-06,"Montipora","2","Inorganic","Heated",9.5705,25.7,53.2,35.18020143,1.02326252680064,2.93,14.7065683630523,1.13274490652234,37.5680791," 0.0301517920"
"37","M-2-11","T0",1,2023-07-20,"Montipora","2","Guano","Ambient",8.977,26.4,53.1,35.10827311,1.02298963340838,2.93,13.7925888924298,0,38.06016949," 0.0000000000"
"38","M-2-11","T3",79,2023-10-06,"Montipora","2","Guano","Ambient",9.8245,27.1,52.9,34.96445218,1.02265899386428,2.93,15.0921019929835,1.29951310055371,38.06016949," 0.0341436499"
"39","M-2-12","T0",1,2023-07-20,"Montipora","2","Guano","Ambient",8.281,26.4,53.1,35.10827311,1.02298963340838,2.93,12.7232292100045,0,25.20310734," 0.0000000000"
"40","M-2-12","T3",79,2023-10-06,"Montipora","2","Guano","Ambient",8.6695,27.1,52.9,34.96445218,1.02265899386428,2.93,13.3178256632063,0.594596453201742,25.20310734," 0.0235921883"
"41","M-2-15","T0",1,2023-07-20,"Montipora","2","Guano","Heated",8.474,25.1,53,35.03635669,1.02333824895522,2.93,13.0221419642969,0,29.59971751," 0.0000000000"
"42","M-2-15","T3",79,2023-10-06,"Montipora","2","Guano","Heated",8.8095,25.7,53.2,35.18020143,1.02326252680064,2.93,13.5371729788735,0.515031014576598,29.59971751," 0.0173998625"
