"","Frag_ID","Species","Genotype","Timepoint","Treatment","Temperature","Trt_temp","Squares_counted.1mm2","Total.blastate.ml","rep1","rep2","rep3","rep4","Mean.cells","Stdev","StError","CV","Cells.mm2","Cells.ml","Total.cells","Surface_area.cm2","AFDW_gdw","Symb_density.cells..cm2","Symb_density.cells..gdw","Log_Symb_density.cells..gdw","Facet"
"1","M-1-26","Montipora","1","T2","Control","Ambient","c-a",1,25,136,128,114,133,127.75,9.7,4.87,7.63,127.75,1277500,31937500,39.50480226,0.1475,808446.016000891,216525423.728814,8.33550889716461,"Montipora - Bleaching Period"
"2","M-1-27","Montipora","1","T2","Inorganic","Ambient","i-a",3,25,112,127,107,130,119,11.2,5.61,9.43,39.67,396667,9916667,25.16129944,0.105,394123.802057498,94444447.6190476,7.9751764308731,"Montipora - Bleaching Period"
"3","M-1-28","Montipora","1","T2","Guano","Ambient","g-a",3,25,121,127,146,129,130.75,10.7,5.36,8.2,43.58,435833,10895833,28.52740113,0.085,381942.713615848,128186270.588235,8.10784151249114,"Montipora - Bleaching Period"
"4","M-1-30","Montipora","1","T2","Effluent","Ambient","e-a",3,25,194,208,182,204,197,11.6,5.8,5.89,65.67,656667,16416667,38.13870056,0.1525,430446.416866595,107650275.409836,8.03201514524932,"Montipora - Bleaching Period"
"5","M-1-4","Montipora","1","T2","Control","Heated","c-h",4,25,98,75,69,85,81.75,12.7,6.34,15.52,20.44,204375,5109375,28.92824859,0.0925,176622.341449535,55236486.4864865,7.74222604593737,"Montipora - Bleaching Period"
"6","M-1-9","Montipora","1","T2","Inorganic","Heated","i-h",4,25,62,51,55,78,61.5,11.9,5.95,19.35,15.38,153750,3843750,16.13248588,0.0625,238261.482364924,61500000,7.78887511577542,"Montipora - Bleaching Period"
"7","M-1-14","Montipora","1","T2","Guano","Heated","g-h",4,25,33,17,27,29,26.5,6.8,3.4,25.69,6.63,66250,1656250,16.38276836,0.0575,101097.077344015,28804347.826087,7.45945804659125,"Montipora - Bleaching Period"
"8","M-1-19","Montipora","1","T2","Effluent","Heated","e-h",4,25,50,51,43,35,44.75,7.4,3.71,16.56,11.19,111875,2796875,15.46779661,0.0625,180819.22529236,44750000,7.65079303965193,"Montipora - Bleaching Period"
"9","M-3-26","Montipora","3","T2","Control","Ambient","c-a",1,25,129,118,119,105,117.75,9.8,4.92,8.36,117.75,1177500,29437500,35.67966102,0.1525,825049.878795065,193032786.885246,8.28563108079017,"Montipora - Bleaching Period"
"10","M-3-27","Montipora","3","T2","Inorganic","Ambient","i-a",1,25,160,147,199,208,178.5,29.6,14.79,16.57,178.5,1785000,44625000,18.23050847,0.1875,2447819.82210944,2.38e+08,8.37657695705651,"Montipora - Bleaching Period"
"11","M-3-28","Montipora","3","T2","Guano","Ambient","g-a",1,25,99,77,82,88,86.5,9.5,4.73,10.95,86.5,865000,21625000,27.63757062,0.0975,782449.380132963,221794871.794872,8.34595150043831,"Montipora - Bleaching Period"
"12","M-3-29","Montipora","3","T2","Effluent","Ambient","e-a",1,25,86,55,56,67,66,14.4,7.2,21.82,66,660000,16500000,21.01045198,0.095,785323.419777284,173684210.526316,8.23976033892506,"Montipora - Bleaching Period"
"13","M-3-4","Montipora","3","T2","Control","Heated","c-h",4,25,107,96,106,96,101.25,6.1,3.04,6,25.31,253125,6328125,19.62062147,0.0775,322524.187609232,81653225.8064516,7.91197334672447,"Montipora - Bleaching Period"
"14","M-3-9","Montipora","3","T2","Inorganic","Heated","i-h",4,25,120,105,89,89,100.75,14.9,7.44,14.77,25.19,251875,6296875,15.66158192,0.065,402058.682971152,96875000,7.98621171551437,"Montipora - Bleaching Period"
"15","M-3-14","Montipora","3","T2","Guano","Heated","g-h",4,25,130,134,93,109,116.5,19.1,9.56,16.41,29.13,291250,7281250,16.60282486,0.04,438554.888183046,182031250,8.26014595137815,"Montipora - Bleaching Period"
"16","M-3-19","Montipora","3","T2","Effluent","Heated","e-h",4,25,83,80,81,96,85,7.4,3.72,8.75,21.25,212500,5312500,12.78559322,0.0625,415506.727657334,8.5e+07,7.92941892571429,"Montipora - Bleaching Period"
"17","M-4-26","Montipora","4","T2","Control","Ambient","c-a",3,25,34,44,41,44,40.75,4.7,2.36,11.58,13.58,135833,3395833,14.23559322,0.055,238545.239915193,61742418.1818182,7.79058363490399,"Montipora - Bleaching Period"
"18","M-4-27","Montipora","4","T2","Inorganic","Ambient","i-a",3,25,92,87,83,84,86.5,4,2.02,4.67,28.83,288333,7208333,18.52768362,0.075,389057.431454564,96111106.6666667,7.98277357794251,"Montipora - Bleaching Period"
"19","M-4-28","Montipora","4","T2","Guano","Ambient","g-a",3,25,123,99,92,116,107.5,14.4,7.22,13.43,35.83,358333,8958333,24.04463277,0.08,372571.005167404,111979162.5,8.04913721505226,"Montipora - Bleaching Period"
"20","M-4-29","Montipora","4","T2","Effluent","Ambient","e-a",3,25,72,77,63,70,70.5,5.8,2.9,8.23,23.5,235000,5875000,16.17231638,0.0625,363275.109264218,9.4e+07,7.9731278535997,"Montipora - Bleaching Period"
"21","M-4-4","Montipora","4","T2","Control","Heated","c-h",4,25,78,79,98,86,85.25,9.2,4.61,10.81,21.31,213125,5328125,24.91920904,0.075,213815.975918311,71041666.6666667,7.85151314161691,"Montipora - Bleaching Period"
"22","M-4-9","Montipora","4","T2","Inorganic","Heated","i-h",4,25,66,72,49,58,61.25,10,4.99,16.29,15.31,153125,3828125,20.46073446,0.07,187096.167416856,54687500,7.73788807036639,"Montipora - Bleaching Period"
"23","M-4-14","Montipora","4","T2","Guano","Heated","g-h",4,25,84,66,57,58,66.25,12.5,6.25,18.87,16.56,165625,4140625,17.69491525,0.055,234000.83817864,75284090.9090909,7.87670321045868,"Montipora - Bleaching Period"
"24","M-4-19","Montipora","4","T2","Effluent","Heated","e-h",4,25,70,58,68,68,66,5.4,2.71,8.21,16.5,165000,4125000,29.32372881,0.0875,140671.059493406,47142857.1428571,7.67341589986363,"Montipora - Bleaching Period"
"25","M-7-26","Montipora","7","T2","Control","Ambient","c-a",1,25,82,97,84,69,83,11.5,5.73,13.81,83,830000,20750000,30.81440678,0.1575,673386.320500829,131746031.746032,8.11973754292249,"Montipora - Bleaching Period"
"26","M-7-27","Montipora","7","T2","Inorganic","Ambient","i-a",3,25,62,74,57,66,64.75,7.2,3.59,11.09,21.58,215833,5395833,20.64576271,0.095,261353.047392455,56798242.1052632,7.75433489458781,"Montipora - Bleaching Period"
"27","M-7-28","Montipora","7","T2","Guano","Ambient","g-a",3,25,78,59,62,58,64.25,9.3,4.66,14.51,21.42,214167,5354167,18.98785311,0.0575,281978.534855013,93115947.826087,7.96902406830386,"Montipora - Bleaching Period"
"28","M-7-29","Montipora","7","T2","Effluent","Ambient","e-a",2,25,73,46,52,64,58.75,12.1,6.05,20.58,29.38,293750,7343750,36.88531073,0.1025,199096.872295754,71646341.4634146,7.85519401856006,"Montipora - Bleaching Period"
"29","M-7-30","Montipora","7","T2","Control","Heated","c-h",4,25,24,22,23,17,21.5,3.1,1.55,14.46,5.38,53750,1343750,30.69096045,0.1175,43783.2501915071,11436170.212766,7.05828061065193,"Montipora - Bleaching Period"
"30","M-7-9","Montipora","7","T2","Inorganic","Heated","i-h",4,25,12,9,10,11,10.5,1.3,0.65,12.3,2.63,26250,656250,27.76949153,0.0525,23632.0495566524,12500000,7.09691001300806,"Montipora - Bleaching Period"
"31","M-7-14","Montipora","7","T2","Guano","Heated","g-h",4,25,17,14,17,17,16.25,1.5,0.75,9.23,4.06,40625,1015625,23.41779661,0.03,43369.7933633219,33854166.6666667,7.52961212793931,"Montipora - Bleaching Period"
"32","M-7-19","Montipora","7","T2","Effluent","Heated","e-h",4,25,19,13,18,12,15.5,3.5,1.76,22.66,3.88,38750,968750,23.11468927,0.0675,41910.5785366242,14351851.8518519,7.15690794268334,"Montipora - Bleaching Period"
"33","M-8-26","Montipora","8","T2","Control","Ambient","c-a",2,25,134,153,124,141,138,12.2,6.1,8.84,69,690000,17250000,19.74632768,0.115,873580.155234211,1.5e+08,8.17609125905568,"Montipora - Bleaching Period"
"34","M-8-27","Montipora","8","T2","Inorganic","Ambient","i-a",2,25,141,148,125,148,140.5,10.8,5.42,7.72,70.25,702500,17562500,15.78305085,0.0975,1112744.30824,180128205.128205,8.25558172155062,"Montipora - Bleaching Period"
"35","M-8-28","Montipora","8","T2","Guano","Ambient","g-a",2,25,116,101,90,128,108.75,16.7,8.34,15.34,54.38,543750,13593750,17.34576271,0.085,783692.837684392,159926470.588235,8.20392035292044,"Montipora - Bleaching Period"
"36","M-8-29","Montipora","8","T2","Effluent","Ambient","e-a",2,25,111,145,106,121,120.75,17.3,8.66,14.35,60.38,603750,15093750,17.28107345,0.07,873426.644685663,215625000,8.33369911241735,"Montipora - Bleaching Period"
"37","M-8-4","Montipora","8","T2","Control","Heated","c-h",2,25,103,98,75,103,94.75,13.4,6.69,14.12,47.38,473750,11843750,22.61299435,0.1075,523758.588388804,110174418.604651,8.04208076739654,"Montipora - Bleaching Period"
"38","M-8-9","Montipora","8","T2","Inorganic","Heated","i-h",2,25,164,171,141,125,150.25,21.2,10.58,14.08,75.13,751250,18781250,24.7299435,0.135,759453.817595661,139120370.37037,8.14339072518783,"Montipora - Bleaching Period"
"39","M-8-30","Montipora","8","T2","Guano","Heated","g-h",1,25,124,143,121,148,134,13.5,6.75,10.07,134,1340000,33500000,46.16920904,0.185,725591.811004956,181081081.081081,8.25787307863383,"Montipora - Bleaching Period"
"40","M-8-19","Montipora","8","T2","Effluent","Heated","e-h",2,25,121,155,117,130,130.75,17.1,8.53,13.04,65.38,653750,16343750,22.82711864,0.12,715979.544232132,136197916.666667,8.13417046449974,"Montipora - Bleaching Period"
"41","P-1-26","Porites","1","T2","Control","Ambient","c-a",1,25,100,118,81,89,97,16,8.01,16.52,97,970000,24250000,44.69529412,0.1075,542562.712192753,225581395.348837,8.35330327868666,"Porites - Bleaching Period"
"42","P-1-27","Porites","1","T2","Inorganic","Ambient","i-a",1,25,88,75,76,84,80.75,6.3,3.15,7.79,80.75,807500,20187500,31.63568627,0.225,638124.295066857,89722222.2222222,7.95290002156382,"Porites - Bleaching Period"
"43","P-1-28","Porites","1","T2","Guano","Ambient","g-a",1,30,77,67,62,61,66.75,7.3,3.66,10.97,66.75,667500,16687500,24.64745098,0.108,677047.70012692,154513888.888889,8.1889675232217,"Porites - Bleaching Period"
"44","P-1-29","Porites","1","T2","Effluent","Ambient","e-a",1,25,133,159,163,153,152,13.3,6.66,8.76,152,1520000,3.8e+07,45.19921569,0.135,840722.552812066,281481481.481481,8.4494498281218,"Porites - Bleaching Period"
"45","P-1-4","Porites","1","T2","Control","Heated","c-h",4,25,70,97,61,75,75.75,15.3,7.65,20.2,18.94,189375,4734375,23.88705882,0.0675,198198.323019828,70138888.8888889,7.84595888168739,"Porites - Bleaching Period"
"46","P-1-9","Porites","1","T2","Inorganic","Heated","i-h",4,25,35,50,42,45,43,6.3,3.14,14.59,10.75,107500,2687500,20.57882353,0.05,130595.415043146,53750000,7.73037846858764,"Porites - Bleaching Period"
"47","P-1-14","Porites","1","T2","Guano","Heated","g-h",4,25,112,142,135,126,128.75,12.9,6.47,10.05,32.19,321875,8046875,34.86745098,0.105,230784.722537237,76636904.7619048,7.88443795598737,"Porites - Bleaching Period"
"48","P-1-19","Porites","1","T2","Effluent","Heated","e-h",4,25,23,20,19,22,21,1.8,0.91,8.69,5.25,52500,1312500,27.40784314,0.0725,47887.752177204,18103448.2758621,7.257761305507,"Porites - Bleaching Period"
"49","P-3-26","Porites","3","T2","Control","Ambient","c-a",2,25,92,71,92,65,80,14.1,7.04,17.59,40,4e+05,1e+07,24.99490196,0.0775,400081.585277,129032258.064516,8.11069829749369,"Porites - Bleaching Period"
"50","P-3-27","Porites","3","T2","Inorganic","Ambient","i-a",2,25,87,97,80,94,89.5,7.6,3.8,8.48,44.75,447500,11187500,19.54078431,0.09,572520.520288164,124305555.555556,8.09449053888464,"Porites - Bleaching Period"
