Frag_ID,Species,Genotype,Timepoint,Treatment,Temperature,T-T,Chl-a 1,Chl-a 2,Chl-c2 1,Chl-c2 2,Chl1,Chl2,Total_Chl_ug.mL,SD,CV,Slurry_Vol.mL
BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,0.030304225,0.01885493,0.0699,0.081109859,0.100204225,0.099964789,0.100084507,0.000169307,0.001691643,25
M-1-21,Montipora,1,T0,Control,Ambient,C_AMB,2.500604225,2.902322535,0.402494366,0.44153662,2.903098592,3.343859155,3.123478873,0.311664783,0.0997813,25
M-2-21,Montipora,2,T0,Control,Ambient,C_AMB,1.426842254,1.327394366,1.1487,2.111852113,2.575542254,3.439246479,3.007394366,0.610731115,0.203076498,25
M-3-21,Montipora,3,T0,Control,Ambient,C_AMB,1.758432394,1.957050704,0.301166197,0.347907042,2.059598592,2.304957746,2.182278169,0.173495122,0.079501837,25
M-4-21,Montipora,4,T0,Control,Ambient,C_AMB,0.856446479,1.02248169,0.20136338,0.409926761,1.057809859,1.432408451,1.245109155,0.264881204,0.212737336,25
M-5-21,Montipora,5,T0,Control,Ambient,C_AMB,1.26931831,1.394874648,0.376977465,0.405266197,1.646295775,1.800140845,1.72321831,0.108784893,0.063128909,25
M-6-21,Montipora,6,T0,Control,Ambient,C_AMB,0.911787324,1.083578873,0.293607042,0.326146479,1.205394366,1.409725352,1.307559859,0.144483826,0.110498823,25
M-7-21,Montipora,7,T0,Control,Ambient,C_AMB,1.284,1.433343662,0.296577465,0.332459155,1.580577465,1.765802817,1.673190141,0.130974103,0.078278075,25
M-8-21,Montipora,8,T0,Control,Ambient,C_AMB,1.187383099,1.253477465,0.463588732,0.438811268,1.650971831,1.692288732,1.671630282,0.029215461,0.017477227,25
M-9-21,Montipora,9,T0,Control,Ambient,C_AMB,0.969201409,0.937725352,0.298094366,0.277795775,1.267295775,1.215521127,1.241408451,0.036610205,0.029490861,25
M-1-3,Montipora,1,T1,Control,Ambient,C_AMB,1.13214507,1.190435211,0.299361972,0.402029578,1.431507042,1.592464789,1.511985915,0.113814314,0.075274718,25
M-2-3,Montipora,2,T1,Control,Ambient,C_AMB,0.539394366,0.564585916,0.298267606,0.449315493,0.837661972,1.013901408,0.92578169,0.124620101,0.134610678,25
M-3-3,Montipora,3,T1,Control,Ambient,C_AMB,1.299828169,1.349553521,0.302911268,0.294692958,1.602739437,1.644246479,1.623492958,0.029349911,0.01807825,25
M-4-3,Montipora,4,T1,Control,Ambient,C_AMB,0.574823944,0.657622535,0.218852113,0.298588732,0.793676056,0.956211268,0.874943662,0.11492975,0.131356743,25
M-5-3,Montipora,5,T1,Control,Ambient,C_AMB,0.708519718,0.790609859,0.240769014,0.282861972,0.949288732,1.073471831,1.011380282,0.087810711,0.086822645,25
M-6-3,Montipora,6,T1,Control,Ambient,C_AMB,0.334439437,0.364125352,0.181588732,0.210029578,0.516028169,0.57415493,0.545091549,0.041101827,0.075403529,25
M-7-3,Montipora,7,T1,Control,Ambient,C_AMB,0.788021127,0.593961972,0.257176056,0.220347887,1.045197183,0.814309859,0.929753521,0.163261993,0.175597068,25
M-8-3,Montipora,8,T1,Control,Ambient,C_AMB,2.37618169,2.509929577,0.529107042,0.751711268,2.905288732,3.261640845,3.083464789,0.251978995,0.081719433,25
M-9-3,Montipora,9,T1,Control,Ambient,C_AMB,1.320576056,1.322791549,0.303895775,0.413011268,1.624471831,1.735802817,1.680137324,0.078722895,0.046855036,25
M-1-18,Montipora,1,T1,Effluent,Ambient,E_AMB,1.376883099,1.408629577,0.490504225,0.499356338,1.867387324,1.907985915,1.88768662,0.028707539,0.015207789,25
M-2-18,Montipora,2,T1,Effluent,Ambient,E_AMB,1.605778873,1.660398592,0.270122535,0.392890141,1.875901408,2.053288732,1.96459507,0.12543178,0.063846124,25
M-3-18,Montipora,3,T1,Effluent,Ambient,E_AMB,1.855449296,2.019822535,0.387747887,0.396135211,2.243197183,2.415957746,2.329577465,0.122160166,0.052438765,25
M-4-18,Montipora,4,T1,Effluent,Ambient,E_AMB,1.126864789,1.223804225,0.319973239,0.342202817,1.446838028,1.566007042,1.506422535,0.084265218,0.055937306,25
M-5-18,Montipora,5,T1,Effluent,Ambient,E_AMB,1.019995775,1.054511268,0.312257747,0.339164789,1.332253521,1.393676056,1.362964789,0.043432291,0.031866041,25
M-6-18,Montipora,6,T1,Effluent,Ambient,E_AMB,2.587538028,2.834388732,0.848243662,1.220484507,3.43578169,4.054873239,3.745327465,0.437763833,0.116882659,25
M-7-18,Montipora,7,T1,Effluent,Ambient,E_AMB,1.93721831,2.356257746,0.713957747,0.425615493,2.651176056,2.781873239,2.716524648,0.092416864,0.034020256,25
M-8-18,Montipora,8,T1,Effluent,Ambient,E_AMB,2.822435211,2.873680282,0.576726761,0.571812676,3.399161972,3.445492958,3.422327465,0.032760954,0.009572712,25
M-9-18,Montipora,9,T1,Effluent,Ambient,E_AMB,2.012971831,2.011194366,0.686112676,0.626087324,2.699084507,2.63728169,2.668183099,0.043701191,0.016378633,25
M-1-13,Montipora,1,T1,Guano,Ambient,G_AMB,1.467846479,1.350132394,0.427533803,0.067297183,1.895380282,1.417429577,1.65640493,0.337962184,0.204033554,25
M-2-13,Montipora,2,T1,Guano,Ambient,G_AMB,1.058143662,1.011495775,0.523567606,0.333891549,1.581711268,1.345387324,1.463549296,0.167106263,0.114178773,25
M-3-13,Montipora,3,T1,Guano,Ambient,G_AMB,2.71778169,2.696853521,0.678126761,0.684773239,3.395908451,3.381626761,3.388767606,0.01009868,0.002980045,25
M-4-13,Montipora,4,T1,Guano,Ambient,G_AMB,1.312759155,1.263226761,0.499508451,0.431928169,1.812267606,1.69515493,1.753711268,0.082811167,0.047220525,25
M-5-13,Montipora,5,T1,Guano,Ambient,G_AMB,0.944667606,0.854270423,0.457360563,0.361102817,1.402028169,1.215373239,1.308700704,0.131984966,0.100851911,25
M-6-13,Montipora,6,T1,Guano,Ambient,G_AMB,1.800392958,1.734709859,0.689247887,0.426092958,2.489640845,2.160802817,2.325221831,0.2325236,0.100000609,25
M-7-13,Montipora,7,T1,Guano,Ambient,G_AMB,1.568198592,1.547,0.372942254,0.391035211,1.941140845,1.938035211,1.939588028,0.002196015,0.001132207,25
