,Frag_ID,Genotype,Species,Treatment,Temperature,Week,FvFm,Day
1,M-1-2,1,Montipora,Control,Ambient,0,0.511,7
2,M-1-2,1,Montipora,Control,Ambient,1,0.516,15
3,M-1-2,1,Montipora,Control,Ambient,2,0.517,22
4,M-1-2,1,Montipora,Control,Ambient,3,0.517,28
5,M-1-2,1,Montipora,Control,Ambient,5,0.53,44
6,M-1-2,1,Montipora,Control,Ambient,6,0.511,52
7,M-1-2,1,Montipora,Control,Ambient,7,0.494,59
8,M-1-2,1,Montipora,Control,Ambient,8,0.506,66
9,M-1-2,1,Montipora,Control,Ambient,9,0.498,73
10,M-1-2,1,Montipora,Control,Ambient,10,0.503,80
11,M-1-7,1,Montipora,Inorganic,Ambient,0,0.506,7
12,M-1-7,1,Montipora,Inorganic,Ambient,1,0.507,15
13,M-1-7,1,Montipora,Inorganic,Ambient,2,0.548,22
14,M-1-7,1,Montipora,Inorganic,Ambient,3,0.509,28
15,M-1-7,1,Montipora,Inorganic,Ambient,5,0.497,44
16,M-1-7,1,Montipora,Inorganic,Ambient,6,0.493,52
17,M-1-7,1,Montipora,Inorganic,Ambient,7,0.482,59
18,M-1-7,1,Montipora,Inorganic,Ambient,8,0.548,66
19,M-1-7,1,Montipora,Inorganic,Ambient,9,0.509,73
20,M-1-7,1,Montipora,Inorganic,Ambient,10,0.517,80
21,M-1-12,1,Montipora,Guano,Ambient,0,0.512,7
22,M-1-12,1,Montipora,Guano,Ambient,1,0.519,15
23,M-1-12,1,Montipora,Guano,Ambient,2,0.527,22
24,M-1-12,1,Montipora,Guano,Ambient,3,0.498,28
25,M-1-12,1,Montipora,Guano,Ambient,5,0.528,44
26,M-1-12,1,Montipora,Guano,Ambient,6,0.516,52
27,M-1-12,1,Montipora,Guano,Ambient,7,0.495,59
28,M-1-12,1,Montipora,Guano,Ambient,8,0.515,66
29,M-1-12,1,Montipora,Guano,Ambient,9,0.507,73
30,M-1-12,1,Montipora,Guano,Ambient,10,0.509,80
31,M-1-17,1,Montipora,Effluent,Ambient,0,0.481,7
32,M-1-17,1,Montipora,Effluent,Ambient,1,0.507,15
33,M-1-17,1,Montipora,Effluent,Ambient,2,0.523,22
34,M-1-17,1,Montipora,Effluent,Ambient,3,0.517,28
35,M-1-17,1,Montipora,Effluent,Ambient,5,0.501,44
36,M-1-17,1,Montipora,Effluent,Ambient,6,0.527,52
37,M-1-17,1,Montipora,Effluent,Ambient,7,0.489,59
38,M-1-17,1,Montipora,Effluent,Ambient,8,0.509,66
39,M-1-17,1,Montipora,Effluent,Ambient,9,0.526,73
40,M-1-17,1,Montipora,Effluent,Ambient,10,0.524,80
41,M-1-22,1,Montipora,Control,Heated,0,0.509,7
42,M-1-22,1,Montipora,Control,Heated,1,0.497,15
43,M-1-22,1,Montipora,Control,Heated,2,0.517,22
44,M-1-22,1,Montipora,Control,Heated,3,0.503,28
45,M-1-22,1,Montipora,Control,Heated,5,0.48,44
46,M-1-22,1,Montipora,Control,Heated,6,0.433,52
47,M-1-22,1,Montipora,Control,Heated,7,0.415,59
48,M-1-22,1,Montipora,Control,Heated,8,0.43,66
49,M-1-22,1,Montipora,Control,Heated,9,0.459,73
50,M-1-22,1,Montipora,Control,Heated,10,0.504,80
51,M-1-23,1,Montipora,Inorganic,Heated,0,0.518,7
