Frag_ID,Timepoint,Treatment,Temperature,T-T,Coral_weight.mg,Coral_plus_wax.mg,Wax_weight.mg,Wax_weight.g,Surface_area.cm2
M-1-21,T0,Control,Ambient,C-AMB,13599.57,14145.45,545.88,0.54588,18.38644068
M-2-21,T0,Control,Ambient,C-AMB,13403.11,13800.13,397.02,0.39702,14.18135593
M-3-21,T0,Control,Ambient,C-AMB,13345.32,13965.08,619.76,0.61976,20.47344633
M-4-21,T0,Control,Ambient,C-AMB,13758.59,14396.2,637.61,0.63761,20.97768362
M-5-21,T0,Control,Ambient,C-AMB,13973.63,14454.84,481.21,0.48121,16.55960452
M-6-21,T0,Control,Ambient,C-AMB,14561.36,15097.66,536.3,0.5363,18.11581921
M-7-21,T0,Control,Ambient,C-AMB,14294.77,15198.09,903.32,0.90332,28.48361582
M-8-21,T0,Control,Ambient,C-AMB,13294.54,13694.12,399.58,0.39958,14.25367232
M-9-21,T0,Control,Ambient,C-AMB,13676.99,14461.86,784.87,0.78487,25.13757062
M-1-3,T1,Control,Ambient,C-AMB,13236.93,13636.32,399.39,0.39939,14.24830508
M-2-3,T1,Control,Ambient,C-AMB,14808.88,15662.38,853.5,0.8535,27.07627119
M-3-3,T1,Control,Ambient,C-AMB,12209.86,12484.6,274.74,0.27474,10.72711864
M-4-3,T1,Control,Ambient,C-AMB,13988.96,14489.06,500.1,0.5001,17.09322034
M-5-3,T1,Control,Ambient,C-AMB,12879.71,13158.4,278.69,0.27869,10.83870056
M-6-3,T1,Control,Ambient,C-AMB,17169.9,18116.37,946.47,0.94647,29.70254237
M-7-3,T1,Control,Ambient,C-AMB,13419.56,13969.08,549.52,0.54952,18.48926554
M-8-3,T1,Control,Ambient,C-AMB,14583.57,15243.83,660.26,0.66026,21.61751412
M-9-3,T1,Control,Ambient,C-AMB,15399.78,15881.58,481.8,0.4818,16.57627119
M-1-18,T1,Effluent,Ambient,E-AMB,12759.32,13174.36,415.04,0.41504,14.69039548
M-2-18,T1,Effluent,Ambient,E-AMB,13280.6,13848.36,567.76,0.56776,19.00451977
M-3-18,T1,Effluent,Ambient,E-AMB,13668.68,14191.67,522.99,0.52299,17.73983051
M-4-18,T1,Effluent,Ambient,E-AMB,14565.19,15398.88,833.69,0.83369,26.51666667
M-5-18,T1,Effluent,Ambient,E-AMB,13245.86,13619.42,373.56,0.37356,13.51864407
M-6-18,T1,Effluent,Ambient,E-AMB,15284.08,16440.19,1156.11,1.15611,35.62457627
M-7-18,T1,Effluent,Ambient,E-AMB,15710.43,16618.35,907.92,0.90792,28.61355932
M-8-18,T1,Effluent,Ambient,E-AMB,15012.44,15565.06,552.62,0.55262,18.57683616
M-9-18,T1,Effluent,Ambient,E-AMB,14692.32,15125.42,433.1,0.4331,15.20056497
M-1-13,T1,Guano,Ambient,G-AMB,14150.24,14920.93,770.69,0.77069,24.73700565
M-2-13,T1,Guano,Ambient,G-AMB,13412.91,13845.59,432.68,0.43268,15.18870056
M-3-13,T1,Guano,Ambient,G-AMB,13745,14305.05,560.05,0.56005,18.78672316
M-4-13,T1,Guano,Ambient,G-AMB,14462.55,15174.21,711.66,0.71166,23.06949153
M-5-13,T1,Guano,Ambient,G-AMB,12939.52,13290.64,351.12,0.35112,12.88474576
M-6-13,T1,Guano,Ambient,G-AMB,16170.75,17365.67,1194.92,1.19492,36.72090395
M-7-13,T1,Guano,Ambient,G-AMB,14438.5,15435.5,997,0.997,31.1299435
M-8-13,T1,Guano,Ambient,G-AMB,17713,18879.56,1166.56,1.16656,35.91977401
M-9-13,T1,Guano,Ambient,G-AMB,14598.16,15353.31,755.15,0.75515,24.2980226
M-1-8,T1,Inorganic,Ambient,I-AMB,13179.8,13518.72,338.92,0.33892,12.54011299
M-2-8,T1,Inorganic,Ambient,I-AMB,14279.27,15003.44,724.17,0.72417,23.42288136
M-3-8,T1,Inorganic,Ambient,I-AMB,13451.61,13792.05,340.44,0.34044,12.58305085
M-4-8,T1,Inorganic,Ambient,I-AMB,14495.88,15150.36,654.48,0.65448,21.45423729
M-5-8,T1,Inorganic,Ambient,I-AMB,13763.74,14331.2,567.46,0.56746,18.9960452
M-6-8,T1,Inorganic,Ambient,I-AMB,15600.33,16644.24,1043.91,1.04391,32.45508475
M-7-8,T1,Inorganic,Ambient,I-AMB,14372.52,14894.46,521.94,0.52194,17.71016949
M-8-8,T1,Inorganic,Ambient,I-AMB,16409.47,17588.93,1179.46,1.17946,36.28418079
M-9-8,T1,Inorganic,Ambient,I-AMB,15009.38,15672.28,662.9,0.6629,21.6920904
M-1-4,T2,Control,Heateded,C-HEAT,15277.19,16196.25,919.06,0.91906,28.92824859
M-2-4,T2,Control,Heated,C-HEAT,13942.62,14523.52,580.9,0.5809,19.37570621
M-3-4,T2,Control,Heated,C-HEAT,14305.39,14894.96,589.57,0.58957,19.62062147
M-4-4,T2,Control,Heated,C-HEAT,15036.8,15813.94,777.14,0.77714,24.91920904
M-5-4,T2,Control,Heated,C-HEAT,13873.12,14297.31,424.19,0.42419,14.94887006
M-6-4,T2,Control,Heated,C-HEAT,15787.83,16614.2,826.37,0.82637,26.30988701
M-7-30,T2,Control,Heated,C-HEAT,18830.35,19811.81,981.46,0.98146,30.69096045
M-8-4,T2,Control,Heated,C-HEAT,15198.74,15894.24,695.5,0.6955,22.61299435
M-9-4,T2,Control,Heated,C-HEAT,15075.77,15778.92,703.15,0.70315,22.82909605
M-1-19,T2,Effluent,Heated,E-HEAT,12842.12,13284.68,442.56,0.44256,15.46779661
M-2-19,T2,Effluent,Heated,E-HEAT,13643.92,14102.93,459.01,0.45901,15.93248588
M-3-19,T2,Effluent,Heated,E-HEAT,13916.87,14264.48,347.61,0.34761,12.78559322
M-4-19,T2,Effluent,Heated,E-HEAT,15473.52,16406.58,933.06,0.93306,29.32372881
M-5-19,T2,Effluent,Heated,E-HEAT,15684.15,16291.68,607.53,0.60753,20.1279661
M-6-19,T2,Effluent,Heated,E-HEAT,15633.02,16223.12,590.1,0.5901,19.63559322
M-7-19,T2,Effluent,Heated,E-HEAT,15462.25,16175.51,713.26,0.71326,23.11468927
M-8-19,T2,Effluent,Heated,E-HEAT,14918.12,15621.2,703.08,0.70308,22.82711864
M-9-30,T2,Effluent,Heated,E-HEAT,14809.63,15787.48,977.85,0.97785,30.58898305
M-1-14,T2,Guano,Heated,G-HEAT,13537.08,14012.03,474.95,0.47495,16.38276836
M-2-14,T2,Guano,Heated,G-HEAT,14501.58,15363.63,862.05,0.86205,27.31779661
M-3-14,T2,Guano,Heated,G-HEAT,13927.44,14410.18,482.74,0.48274,16.60282486
M-4-14,T2,Guano,Heated,G-HEAT,14227.24,14748.64,521.4,0.5214,17.69491525
M-5-14,T2,Guano,Heated,G-HEAT,14079.84,14433.27,353.43,0.35343,12.95
M-6-14,T2,Guano,Heated,G-HEAT,17342.14,18578.18,1236.04,1.23604,37.88248588
M-7-14,T2,Guano,Heated,G-HEAT,14711.6,15435.59,723.99,0.72399,23.41779661
M-8-30,T2,Guano,Heated,G-HEAT,21543.97,23073.36,1529.39,1.52939,46.16920904
M-9-14,T2,Guano,Heated,G-HEAT,12836.42,13129.9,293.48,0.29348,11.25649718
M-1-9,T2,Inorganic,Heated,I-HEAT,14282.15,14748.24,466.09,0.46609,16.13248588
M-2-9,T2,Inorganic,Heated,I-HEAT,14208.29,14920.28,711.99,0.71199,23.07881356
M-3-9,T2,Inorganic,Heated,I-HEAT,13271.42,13720.84,449.42,0.44942,15.66158192
M-4-9,T2,Inorganic,Heated,I-HEAT,14295.12,14914.43,619.31,0.61931,20.46073446
M-5-9,T2,Inorganic,Heated,I-HEAT,16488.85,17126.8,637.95,0.63795,20.98728814
M-6-9,T2,Inorganic,Heated,I-HEAT,14497.73,15495.28,997.55,0.99755,31.14548023
M-7-9,T2,Inorganic,Heated,I-HEAT,15891.37,16769.41,878.04,0.87804,27.76949153
M-8-9,T2,Inorganic,Heated,I-HEAT,17570.38,18340.82,770.44,0.77044,24.7299435
M-9-9,T2,Inorganic,Heated,I-HEAT,12251.55,12494.82,243.27,0.24327,9.838135593
M-1-26,T2,Control,Ambient,C-AMB,18198.56,19492.03,1293.47,1.29347,39.50480226
M-2-26,T2,Control,Ambient,C-AMB,15755.65,16467.65,712,0.712,23.07909605
M-3-26,T2,Control,Ambient,C-AMB,17072.91,18230.97,1158.06,1.15806,35.67966102
M-4-26,T2,Control,Ambient,C-AMB,13503.13,13902.07,398.94,0.39894,14.23559322
M-5-26,T2,Control,Ambient,C-AMB,14907.21,15696.33,789.12,0.78912,25.25762712
M-6-26,T2,Control,Ambient,C-AMB,15809.34,16772.72,963.38,0.96338,30.18022599
M-7-26,T2,Control,Ambient,C-AMB,19943.78,20929.61,985.83,0.98583,30.81440678
M-8-26,T2,Control,Ambient,C-AMB,15287.26,15881.28,594.02,0.59402,19.74632768
M-9-26,T2,Control,Ambient,C-AMB,14264.35,14793.04,528.69,0.52869,17.90084746
M-1-30,T2,Effluent,Ambient,E-AMB,15797.02,17042.13,1245.11,1.24511,38.13870056
M-2-29,T2,Effluent,Ambient,E-AMB,12810.78,13367.79,557.01,0.55701,18.70084746
M-3-29,T2,Effluent,Ambient,E-AMB,14311.65,14950.42,638.77,0.63877,21.01045198
M-4-29,T2,Effluent,Ambient,E-AMB,13787.73,14255.23,467.5,0.4675,16.17231638
M-5-29,T2,Effluent,Ambient,E-AMB,13611.04,14540.85,929.81,0.92981,29.2319209
M-6-29,T2,Effluent,Ambient,E-AMB,14494.57,15343.07,848.5,0.8485,26.93502825
M-7-29,T2,Effluent,Ambient,E-AMB,18643.34,19844.08,1200.74,1.20074,36.88531073
M-8-29,T2,Effluent,Ambient,E-AMB,13460.98,13967.73,506.75,0.50675,17.28107345
M-9-29,T2,Effluent,Ambient,E-AMB,14470.93,15335.56,864.63,0.86463,27.39067797
M-1-28,T2,Guano,Ambient,G-AMB,15781.91,16686.78,904.87,0.90487,28.52740113
M-2-28,T2,Guano,Ambient,G-AMB,14579.49,15233.69,654.2,0.6542,21.44632768
M-3-28,T2,Guano,Ambient,G-AMB,16223.15,17096.52,873.37,0.87337,27.63757062
M-4-28,T2,Guano,Ambient,G-AMB,14539.94,15286.12,746.18,0.74618,24.04463277
M-5-28,T2,Guano,Ambient,G-AMB,14999.23,15892.44,893.21,0.89321,28.1980226
M-6-28,T2,Guano,Ambient,G-AMB,15118.93,16340.54,1221.61,1.22161,37.47485876
M-7-28,T2,Guano,Ambient,G-AMB,12500.94,13068.11,567.17,0.56717,18.98785311
M-8-28,T2,Guano,Ambient,G-AMB,13618.52,14127.56,509.04,0.50904,17.34576271
M-9-28,T2,Guano,Ambient,G-AMB,13966.98,14449.98,483,0.483,16.61016949
M-1-27,T2,Inorganic,Ambient,I-AMB,15479.55,16265.26,785.71,0.78571,25.16129944
M-2-27,T2,Inorganic,Ambient,I-AMB,14004.64,14658.14,653.5,0.6535,21.42655367
