Frag_ID,Species,Genotype,Timepoint,Treatment,Temperature,Trt_temp,Squares_counted.1mm2,Total blastate.ml,rep1,rep2,rep3,rep4,Mean.cells,Stdev,StError,CV,Cells.mm2,Cells.ml,Total.cells
M-1-26,Montipora,1,T2,Control,Ambient,c-a,1,25,136,128,114,133,127.75,9.7,4.87,7.63,127.75,1277500,31937500
M-1-27,Montipora,1,T2,Inorganic,Ambient,i-a,3,25,112,127,107,130,119,11.2,5.61,9.43,39.67,396667,9916667
M-1-28,Montipora,1,T2,Guano,Ambient,g-a,3,25,121,127,146,129,130.75,10.7,5.36,8.2,43.58,435833,10895833
M-1-30,Montipora,1,T2,Effluent,Ambient,e-a,3,25,194,208,182,204,197,11.6,5.8,5.89,65.67,656667,16416667
M-1-4,Montipora,1,T2,Control,Heated,c-h,4,25,98,75,69,85,81.75,12.7,6.34,15.52,20.44,204375,5109375
M-1-9,Montipora,1,T2,Inorganic,Heated,i-h,4,25,62,51,55,78,61.5,11.9,5.95,19.35,15.38,153750,3843750
M-1-14,Montipora,1,T2,Guano,Heated,g-h,4,25,33,17,27,29,26.5,6.8,3.4,25.69,6.63,66250,1656250
M-1-19,Montipora,1,T2,Effluent,Heated,e-h,4,25,50,51,43,35,44.75,7.4,3.71,16.56,11.19,111875,2796875
M-3-26,Montipora,3,T2,Control,Ambient,c-a,1,25,129,118,119,105,117.75,9.8,4.92,8.36,117.75,1177500,29437500
M-3-27,Montipora,3,T2,Inorganic,Ambient,i-a,1,25,160,147,199,208,178.5,29.6,14.79,16.57,178.5,1785000,44625000
M-3-28,Montipora,3,T2,Guano,Ambient,g-a,1,25,99,77,82,88,86.5,9.5,4.73,10.95,86.5,865000,21625000
M-3-29,Montipora,3,T2,Effluent,Ambient,e-a,1,25,86,55,56,67,66,14.4,7.2,21.82,66,660000,16500000
M-3-4,Montipora,3,T2,Control,Heated,c-h,4,25,107,96,106,96,101.25,6.1,3.04,6,25.31,253125,6328125
M-3-9,Montipora,3,T2,Inorganic,Heated,i-h,4,25,120,105,89,89,100.75,14.9,7.44,14.77,25.19,251875,6296875
M-3-14,Montipora,3,T2,Guano,Heated,g-h,4,25,130,134,93,109,116.5,19.1,9.56,16.41,29.13,291250,7281250
M-3-19,Montipora,3,T2,Effluent,Heated,e-h,4,25,83,80,81,96,85,7.4,3.72,8.75,21.25,212500,5312500
M-4-26,Montipora,4,T2,Control,Ambient,c-a,3,25,34,44,41,44,40.75,4.7,2.36,11.58,13.58,135833,3395833
M-4-27,Montipora,4,T2,Inorganic,Ambient,i-a,3,25,92,87,83,84,86.5,4,2.02,4.67,28.83,288333,7208333
M-4-28,Montipora,4,T2,Guano,Ambient,g-a,3,25,123,99,92,116,107.5,14.4,7.22,13.43,35.83,358333,8958333
M-4-29,Montipora,4,T2,Effluent,Ambient,e-a,3,25,72,77,63,70,70.5,5.8,2.9,8.23,23.5,235000,5875000
M-4-4,Montipora,4,T2,Control,Heated,c-h,4,25,78,79,98,86,85.25,9.2,4.61,10.81,21.31,213125,5328125
M-4-9,Montipora,4,T2,Inorganic,Heated,i-h,4,25,66,72,49,58,61.25,10,4.99,16.29,15.31,153125,3828125
M-4-14,Montipora,4,T2,Guano,Heated,g-h,4,25,84,66,57,58,66.25,12.5,6.25,18.87,16.56,165625,4140625
M-4-19,Montipora,4,T2,Effluent,Heated,e-h,4,25,70,58,68,68,66,5.4,2.71,8.21,16.5,165000,4125000
M-7-26,Montipora,7,T2,Control,Ambient,c-a,1,25,82,97,84,69,83,11.5,5.73,13.81,83,830000,20750000
M-7-27,Montipora,7,T2,Inorganic,Ambient,i-a,3,25,62,74,57,66,64.75,7.2,3.59,11.09,21.58,215833,5395833
M-7-28,Montipora,7,T2,Guano,Ambient,g-a,3,25,78,59,62,58,64.25,9.3,4.66,14.51,21.42,214167,5354167
M-7-29,Montipora,7,T2,Effluent,Ambient,e-a,2,25,73,46,52,64,58.75,12.1,6.05,20.58,29.38,293750,7343750
M-7-30,Montipora,7,T2,Control,Heated,c-h,4,25,24,22,23,17,21.5,3.1,1.55,14.46,5.38,53750,1343750
M-7-9,Montipora,7,T2,Inorganic,Heated,i-h,4,25,12,9,10,11,10.5,1.3,0.65,12.3,2.63,26250,656250
M-7-14,Montipora,7,T2,Guano,Heated,g-h,4,25,17,14,17,17,16.25,1.5,0.75,9.23,4.06,40625,1015625
M-7-19,Montipora,7,T2,Effluent,Heated,e-h,4,25,19,13,18,12,15.5,3.5,1.76,22.66,3.88,38750,968750
M-8-26,Montipora,8,T2,Control,Ambient,c-a,2,25,134,153,124,141,138,12.2,6.1,8.84,69,690000,17250000
M-8-27,Montipora,8,T2,Inorganic,Ambient,i-a,2,25,141,148,125,148,140.5,10.8,5.42,7.72,70.25,702500,17562500
M-8-28,Montipora,8,T2,Guano,Ambient,g-a,2,25,116,101,90,128,108.75,16.7,8.34,15.34,54.38,543750,13593750
M-8-29,Montipora,8,T2,Effluent,Ambient,e-a,2,25,111,145,106,121,120.75,17.3,8.66,14.35,60.38,603750,15093750
M-8-4,Montipora,8,T2,Control,Heated,c-h,2,25,103,98,75,103,94.75,13.4,6.69,14.12,47.38,473750,11843750
M-8-9,Montipora,8,T2,Inorganic,Heated,i-h,2,25,164,171,141,125,150.25,21.2,10.58,14.08,75.13,751250,18781250
M-8-30,Montipora,8,T2,Guano,Heated,g-h,1,25,124,143,121,148,134,13.5,6.75,10.07,134,1340000,33500000
M-8-19,Montipora,8,T2,Effluent,Heated,e-h,2,25,121,155,117,130,130.75,17.1,8.53,13.04,65.38,653750,16343750
P-1-26,Porites,1,T2,Control,Ambient,c-a,1,25,100,118,81,89,97,16,8.01,16.52,97,970000,24250000
P-1-27,Porites,1,T2,Inorganic,Ambient,i-a,1,25,88,75,76,84,80.75,6.3,3.15,7.79,80.75,807500,20187500
P-1-28,Porites,1,T2,Guano,Ambient,g-a,1,30,77,67,62,61,66.75,7.3,3.66,10.97,66.75,667500,16687500
P-1-29,Porites,1,T2,Effluent,Ambient,e-a,1,25,133,159,163,153,152,13.3,6.66,8.76,152,1520000,38000000
P-1-4,Porites,1,T2,Control,Heated,c-h,4,25,70,97,61,75,75.75,15.3,7.65,20.2,18.94,189375,4734375
P-1-9,Porites,1,T2,Inorganic,Heated,i-h,4,25,35,50,42,45,43,6.3,3.14,14.59,10.75,107500,2687500
P-1-14,Porites,1,T2,Guano,Heated,g-h,4,25,112,142,135,126,128.75,12.9,6.47,10.05,32.19,321875,8046875
P-1-19,Porites,1,T2,Effluent,Heated,e-h,4,25,23,20,19,22,21,1.8,0.91,8.69,5.25,52500,1312500
P-3-26,Porites,3,T2,Control,Ambient,c-a,2,25,92,71,92,65,80,14.1,7.04,17.59,40,400000,10000000
P-3-27,Porites,3,T2,Inorganic,Ambient,i-a,2,25,87,97,80,94,89.5,7.6,3.8,8.48,44.75,447500,11187500
P-3-28,Porites,3,T2,Guano,Ambient,g-a,2,25,105,107,113,101,106.5,5,2.5,4.69,53.25,532500,13312500
P-3-29,Porites,3,T2,Effluent,Ambient,e-a,4,25,52,47,47,55,50.25,3.9,1.97,7.86,12.56,125625,3140625
P-3-4,Porites,3,T2,Control,Heated,c-h,4,25,29,29,27,18,25.75,5.3,2.63,20.4,6.44,64375,1609375
P-3-9,Porites,3,T2,Inorganic,Heated,i-h,4,25,29,36,38,31,33.5,4.2,2.1,12.55,8.38,83750,2093750
P-3-14,Porites,3,T2,Guano,Heated,g-h,4,25,70,69,64,63,66.5,3.5,1.76,5.28,16.63,166250,4156250
P-3-19,Porites,3,T2,Effluent,Heated,e-h,4,25,35,33,29,30,31.75,2.8,1.38,8.67,7.94,79375,1984375
P-6-26,Porites,6,T2,Control,Ambient,c-a,2,25,155,142,160,138,148.75,10.4,5.22,7.02,74.38,743750,18593750
P-6-27,Porites,6,T2,Inorganic,Ambient,i-a,1,25,117,120,140,103,120,15.3,7.63,12.71,120,1200000,30000000
P-6-28,Porites,6,T2,Guano,Ambient,g-a,2,25,123,92,109,117,110.25,13.5,6.73,12.2,55.13,551250,13781250
P-6-29,Porites,6,T2,Effluent,Ambient,e-a,1,25,124,113,119,145,125.25,13.9,6.96,11.11,125.25,1252500,31312500
