Week,Date_Time,Timepoint,MA1,MA2,MA3,MA4,MA5,MA6,MA7,MA8,MA9,MA10,MA11,MA12,MH1,MH2,MH3,MH4,MH5,MH6,MH7,MH8,MH9,MH10,MH11,MH12,MCAP-SOURCE
1,7/24/2023 0:01,1,26.75,26.875,26.75,26.375,NA,26.75,26.5,26.25,26.375,26.625,26.5,26.375,26.25,26.25,25.875,25.875,26.125,25.75,26,25.875,25.875,26,26,26.125,26.25
1,7/24/2023 0:31,2,26.625,26.75,26.75,26.375,NA,26.75,26.375,26.125,26.375,26.5,26.375,26.25,26.25,26.25,26,26,26.25,25.75,26,25.875,25.875,26,26,26.125,26.25
1,7/24/2023 1:01,3,26.625,26.75,26.75,26.375,NA,26.75,26.375,26.125,26.375,26.5,26.375,26.375,26.25,26.375,26,26,26.25,25.875,26,25.875,26,26,26,26.125,26.25
1,7/24/2023 1:31,4,26.625,26.75,26.75,26.25,NA,26.625,26.375,26.125,26.25,26.5,26.375,26.25,26.25,26.375,26,26,26.25,25.875,26,26,26,26,26,26.125,26.25
1,7/24/2023 2:01,5,26.625,26.625,26.625,26.25,NA,26.625,26.375,26.125,26.25,26.375,26.375,26.25,26.25,26.375,26,26,26.25,25.875,26,25.875,26,26,26,26.125,26.125
1,7/24/2023 2:31,6,26.625,26.75,26.75,26.25,NA,26.625,26.375,26.125,26.25,26.5,26.375,26.25,26.25,26.375,26,26,26.125,25.75,26,25.875,26,26,26,26,26.25
1,7/24/2023 3:01,7,26.5,26.625,26.625,26.25,NA,26.625,26.375,26.125,26.25,26.375,26.375,26.25,26.125,26.25,25.875,25.875,26.125,25.75,26,25.875,25.875,26,25.875,26,26.125
1,7/24/2023 3:31,8,26.625,26.625,26.625,26.25,NA,26.625,26.375,26.125,26.25,26.5,26.375,26.25,26.125,26.25,25.875,25.875,26.125,25.75,26,25.75,25.875,25.875,25.75,26,26.125
1,7/24/2023 4:01,9,26.625,26.75,26.75,26.25,NA,26.75,26.375,26.125,26.375,26.5,26.375,26.25,26.125,26.25,25.875,25.875,26.125,25.75,26,25.875,25.875,25.875,25.875,26,26.25
1,7/24/2023 4:31,10,26.625,26.625,26.625,26.25,NA,26.625,26.375,26.125,26.25,26.375,26.375,26.25,26.125,26.25,25.875,25.875,26.125,25.75,26,25.875,25.875,25.875,25.875,26,26.125
1,7/24/2023 5:01,11,26.5,26.625,26.625,26.25,NA,26.625,26.375,26.125,26.25,26.375,26.375,26.25,26.125,26.25,25.875,25.875,26,25.75,26,25.875,25.875,25.875,25.875,26,26.125
1,7/24/2023 5:31,12,26.625,26.625,26.625,26.25,NA,26.625,26.375,26.125,26.25,26.375,26.375,26.25,26.125,26.25,25.875,25.875,26.125,25.75,26,25.75,25.875,25.875,25.875,26,26.125
1,7/24/2023 6:01,13,26.625,26.625,26.625,26.25,NA,26.625,26.375,26.125,26.25,26.375,26.375,26.25,26.125,26.25,25.875,25.875,26.125,25.75,26,25.875,25.875,25.875,25.875,26,26.125
1,7/24/2023 6:31,14,26.625,26.625,26.625,26.25,NA,26.625,26.375,26.125,26.25,26.5,26.375,26.25,26.125,26.25,25.875,25.875,26.125,25.75,26,25.75,25.875,25.875,25.875,26,26.125
1,7/24/2023 7:01,15,26.625,26.625,26.625,26.25,NA,26.625,26.375,26.125,26.25,26.5,26.375,26.25,26.125,26.25,25.875,25.875,26.125,25.75,26,25.875,25.875,26,26,26,26.125
1,7/24/2023 7:31,16,26.625,26.75,26.75,26.25,NA,26.625,26.375,26.125,26.25,26.375,26.375,26.25,26.125,26.25,25.875,25.875,26.125,25.75,26,25.875,25.875,25.875,25.75,26,26
1,7/24/2023 8:01,17,26.75,26.875,26.875,26.5,NA,26.875,26.625,26.375,26.5,26.625,26.5,26.5,26.25,26.375,26.125,26.125,26.25,25.875,26.125,26,26.125,26.125,26,26.25,26.25
1,7/24/2023 8:31,18,26.875,27,27,26.5,NA,27,26.625,26.5,26.625,26.75,26.625,26.625,26.375,26.625,26.375,26.25,26.5,26.125,26.375,26.25,26.375,26.375,26.125,26.375,26.375
1,7/24/2023 9:01,19,26.875,27,27,26.625,NA,27,26.75,26.5,26.625,26.75,26.625,26.625,26.5,26.625,26.375,26.375,26.5,26.125,26.375,26.25,26.375,26.375,26.25,26.375,26.5
1,7/24/2023 9:31,20,27,27,27.125,26.625,NA,27,26.75,26.5,26.75,26.875,26.75,26.625,26.75,26.875,26.5,26.625,26.75,26.375,26.625,26.5,26.5,26.625,26.375,26.5,26.625
1,7/24/2023 10:01,21,27,27.125,27.125,26.625,NA,27.125,26.875,26.625,26.75,27,26.75,26.75,26.75,27,26.625,26.625,26.875,26.375,26.75,26.625,26.5,26.75,26.5,26.625,26.625
1,7/24/2023 10:31,22,27.25,27.375,27.5,27,NA,27.5,27.125,26.875,27.125,27.25,27.125,27,27,27.25,26.875,27,27.125,26.75,27,27,26.875,27,26.75,27,26.875
1,7/24/2023 11:01,23,27.25,27.375,27.375,26.875,NA,27.5,27.125,26.875,27.125,27.125,27.125,27,27,27.25,26.875,26.875,27,26.625,27,26.875,26.75,26.875,26.625,26.875,26.875
1,7/24/2023 11:31,24,27.25,27.375,27.5,26.875,NA,27.5,27.125,27,27.125,27.25,27.125,27.125,27,27.25,26.875,26.875,27.125,26.625,27,27,26.75,27,26.75,26.875,26.875
1,7/24/2023 12:01,25,27.25,27.375,27.5,26.875,NA,27.5,27,26.875,27.125,27.125,27.125,27,27,27.25,26.875,26.875,27,26.625,26.875,26.875,26.75,26.875,26.625,26.875,26.875
1,7/24/2023 12:31,26,27.25,27.375,27.5,26.875,NA,27.5,27.125,26.875,27.125,27.125,27.125,27,27.125,27.25,26.875,27,27.125,26.75,27,27,26.875,27,26.75,27,26.875
1,7/24/2023 13:01,27,27.125,27.375,27.375,26.875,NA,27.375,27,26.875,27,27.125,27,26.875,27.125,27.375,26.875,27,27.125,26.75,27.125,27,26.875,27,26.75,27,26.875
1,7/24/2023 13:31,28,27.125,27.375,27.375,26.875,NA,27.375,27,26.75,27,27.125,27,26.875,27.125,27.5,27.125,27.125,27.25,26.875,27.125,27.125,27.125,27.125,26.875,27.125,26.875
1,7/24/2023 14:01,29,27.125,27.375,27.375,26.875,NA,27.375,27,26.75,27,27.125,27,26.875,27,27.25,26.875,27,27.125,26.625,27,27,26.875,27,26.75,27,26.875
1,7/24/2023 14:31,30,27.125,27.25,27.25,26.875,NA,27.375,27,27,27.125,27.125,27.125,27.125,27.125,27.375,26.875,27,27.125,26.75,27,27,26.875,27,26.75,27,26.875
1,7/24/2023 15:01,31,27.25,27.375,27.375,26.875,NA,27.5,27.125,27,27.125,27.25,27.25,27.125,27.25,27.5,27.125,27.125,27.25,26.875,27.25,27.125,27.125,27.25,27,27.125,27
1,7/24/2023 15:31,32,27.25,27.375,27.5,26.875,NA,27.5,27,26.875,27,27.125,27.125,27,27.25,27.5,27,27.125,27.25,26.875,27.25,27.125,27,27.25,26.875,27.125,27
1,7/24/2023 16:01,33,27.125,27.375,27.5,26.875,NA,27.5,27,26.875,27.125,27.125,27.125,27,27.125,27.375,27,27,27.125,26.625,27.125,27,26.875,27.125,26.75,27,26.875
