Frag_ID,Species,Genotype,Timepoint,Treatment,Temperature,Slurry Aliquot (ml),Vol,pan,pan_drymass,drymass,pan_burned_mass,AFDW_g.ml,AFDW_gdw
M-1-21,Montipora,1,T0,Control,Ambient,1,25,0.4194,0.4272,0.0078,0.4233,0.0039,0.0975
M-2-21,Montipora,2,T0,Control,Ambient,1,25,0.4195,0.4242,0.0047,0.422,0.0025,0.055
M-3-21,Montipora,3,T0,Control,Ambient,1,25,0.4206,0.4268,0.0062,0.4238,0.0032,0.075
M-4-21,Montipora,4,T0,Control,Ambient,1,25,0.4181,0.4224,0.0043,0.4216,0.0035,0.02
M-5-21,Montipora,5,T0,Control,Ambient,1,25,0.4154,0.4221,0.0067,0.4186,0.0032,0.0875
M-6-21,Montipora,6,T0,Control,Ambient,1,25,0.417,0.4249,0.0079,0.4208,0.0038,0.1025
M-7-21,Montipora,7,T0,Control,Ambient,1,25,0.421,0.4307,0.0097,0.4264,0.0054,0.1075
M-8-21,Montipora,8,T0,Control,Ambient,1,25,0.4176,0.4223,0.0047,0.4197,0.0021,0.065
M-9-21,Montipora,9,T0,Control,Ambient,1,25,0.4167,0.4253,0.0086,0.4212,0.0045,0.1025
M-1-3,Montipora,1,T1,Control,Ambient,1,25,0.4184,0.4229,0.0045,0.4207,0.0023,0.055
M-2-3,Montipora,2,T1,Control,Ambient,1,25,0.42,0.4305,0.0105,0.4251,0.0051,0.135
M-3-3,Montipora,3,T1,Control,Ambient,1,25,0.4257,0.4304,0.0047,0.428,0.0023,0.06
M-4-3,Montipora,4,T1,Control,Ambient,1,25,0.4264,0.432,0.0056,0.4291,0.0027,0.0725
M-5-3,Montipora,5,T1,Control,Ambient,1,25,0.418,0.4218,0.0038,0.4196,0.0016,0.055
M-6-3,Montipora,6,T1,Control,Ambient,1,25,0.4152,0.4245,0.0093,0.4193,0.0041,0.13
M-7-3,Montipora,7,T1,Control,Ambient,1,25,0.42,0.4277,0.0077,0.4239,0.0039,0.095
M-8-3,Montipora,8,T1,Control,Ambient,1,25,0.415,0.423,0.008,0.4185,0.0035,0.1125
M-9-3,Montipora,9,T1,Control,Ambient,1,25,0.4197,0.426,0.0063,0.4227,0.003,0.0825
M-1-18,Montipora,1,T1,Effluent,Ambient,1,25,0.4215,0.4263,0.0048,0.4241,0.0026,0.055
M-2-18,Montipora,2,T1,Effluent,Ambient,1,25,0.4229,0.4298,0.0069,0.4263,0.0034,0.0875
M-3-18,Montipora,3,T1,Effluent,Ambient,1,25,0.4237,0.4296,0.0059,0.4267,0.003,0.0725
M-4-18,Montipora,4,T1,Effluent,Ambient,1,25,0.4179,0.4258,0.0079,0.4221,0.0042,0.0925
M-5-18,Montipora,5,T1,Effluent,Ambient,1,25,0.427,0.4319,0.0049,0.4293,0.0023,0.065
M-6-18,Montipora,6,T1,Effluent,Ambient,1,25,0.4251,0.4382,0.0131,0.4331,0.008,0.1275
M-7-18,Montipora,7,T1,Effluent,Ambient,1,25,0.423,0.433,0.01,0.428,0.005,0.125
M-8-18,Montipora,8,T1,Effluent,Ambient,1,25,0.4235,0.432,0.0085,0.4279,0.0044,0.1025
M-9-18,Montipora,9,T1,Effluent,Ambient,1,25,0.4163,0.4219,0.0056,0.4187,0.0024,0.08
M-1-13,Montipora,1,T1,Guano,Ambient,1,25,0.4171,0.4228,0.0057,0.4201,0.003,0.0675
M-2-13,Montipora,2,T1,Guano,Ambient,1,25,0.4232,0.4275,0.0043,0.4252,0.002,0.0575
M-3-13,Montipora,3,T1,Guano,Ambient,1,25,0.4221,0.4289,0.0068,0.4255,0.0034,0.085
M-4-13,Montipora,4,T1,Guano,Ambient,1,25,0.4169,0.4247,0.0078,0.4209,0.004,0.095
M-5-13,Montipora,5,T1,Guano,Ambient,1,25,0.4215,0.4249,0.0034,0.4229,0.0014,0.05
M-6-13,Montipora,6,T1,Guano,Ambient,1,25,0.4249,0.4358,0.0109,0.4301,0.0052,0.1425
M-7-13,Montipora,7,T1,Guano,Ambient,1,25,0.4222,0.4301,0.0079,0.4264,0.0042,0.0925
M-8-13,Montipora,8,T1,Guano,Ambient,1,25,0.4206,0.4304,0.0098,0.4253,0.0047,0.1275
M-9-13,Montipora,9,T1,Guano,Ambient,1,25,0.4182,0.426,0.0078,0.4215,0.0033,0.1125
M-1-8,Montipora,1,T1,Inorganic,Ambient,1,25,0.4213,0.4244,0.0031,0.4231,0.0018,0.0325
M-2-8,Montipora,2,T1,Inorganic,Ambient,1,25,0.4195,0.4272,0.0077,0.4236,0.0041,0.09
M-3-8,Montipora,3,T1,Inorganic,Ambient,1,25,0.4241,0.4287,0.0046,0.4264,0.0023,0.0575
M-4-8,Montipora,4,T1,Inorganic,Ambient,1,25,0.4205,0.4283,0.0078,0.4247,0.0042,0.09
M-5-8,Montipora,5,T1,Inorganic,Ambient,1,25,0.4215,0.4291,0.0076,0.4265,0.005,0.065
M-6-8,Montipora,6,T1,Inorganic,Ambient,1,25,0.4228,0.4307,0.0079,0.4267,0.0039,0.1
M-7-8,Montipora,7,T1,Inorganic,Ambient,1,25,0.4237,0.4303,0.0066,0.4275,0.0038,0.07
M-8-8,Montipora,8,T1,Inorganic,Ambient,1,25,0.413,0.4239,0.0109,0.4187,0.0057,0.13
M-9-8,Montipora,9,T1,Inorganic,Ambient,1,25,0.429,0.437,0.008,0.4332,0.0042,0.095
M-1-26,Montipora,1,T2,Control,Ambient,1,25,0.4178,0.4306,0.0128,0.4247,0.0069,0.1475
M-2-26,Montipora,2,T2,Control,Ambient,1,25,0.4246,0.4354,0.0108,0.43,0.0054,0.135
M-3-26,Montipora,3,T2,Control,Ambient,1,25,0.4212,0.4329,0.0117,0.4268,0.0056,0.1525
M-4-26,Montipora,4,T2,Control,Ambient,1,25,0.419,0.4232,0.0042,0.421,0.002,0.055
M-5-26,Montipora,5,T2,Control,Ambient,1,25,0.4231,0.4323,0.0092,0.4271,0.004,0.13
M-6-26,Montipora,6,T2,Control,Ambient,1,25,0.4208,0.4324,0.0116,0.4256,0.0048,0.17
M-7-26,Montipora,7,T2,Control,Ambient,1,25,0.4177,0.4303,0.0126,0.424,0.0063,0.1575
M-8-26,Montipora,8,T2,Control,Ambient,1,25,0.419,0.4279,0.0089,0.4233,0.0043,0.115
M-9-26,Montipora,9,T2,Control,Ambient,1,25,0.4234,0.4301,0.0067,0.4266,0.0032,0.0875
M-1-30,Montipora,1,T2,Effluent,Ambient,1,25,0.4198,0.4313,0.0115,0.4252,0.0054,0.1525
