"","ID","Timepoint","Aquaria","Tank","Species","Treatment","Temperature","TN","TP","Phosphate","Silicate","N.N","Ammonia","TIN","N_to_P","TIN_to_PO4"
"1",1,"T1","P-A5","Aquaria","Porites","Control","Ambient",6.68,0.14,0.06,2.54,0.3,0.63,0.93,47.7142857142857,15.5
"2",2,"T1","P-H5","Aquaria","Porites","Control","Heated",6.78,0.15,0.05,3.41,0.45,0.17,0.62,45.2,12.4
"3",3,"T1","M-A5","Aquaria","Montipora","Control","Ambient",9.58,0.18,0.04,1.03,0.6,0.67,1.27,53.2222222222222,31.75
"4",4,"T1","M-H5","Aquaria","Montipora","Control","Heated",9.84,0.17,0.05,1.51,0.59,0.71,1.3,57.8823529411765,26
"5",5,"T1","P-Dosing","Dosing","Porites","Control","Ambient",8.93,0.33,0.22,11.44,0.73,0.71,1.44,27.0606060606061,6.54545454545454
"6",6,"T1","M-Dosing","Dosing","Montipora","Control","Ambient",16.2,1.37,0.95,7.44,1.03,1.4,2.43,11.8248175182482,2.55789473684211
"7",7,"T2","P-A5","Aquaria","Porites","Control","Ambient",8.14,0.14,0.02,0.37,0.44,0.65,1.09,58.1428571428571,54.5
"8",8,"T2","P-H5","Aquaria","Porites","Control","Heated",10.72,0.17,0.03,0.68,0.52,0.87,1.39,63.0588235294118,46.3333333333333
"9",9,"T2","M-A5","Aquaria","Montipora","Control","Ambient",7.74,0.16,0.03,2.16,0.17,0.55,0.72,48.375,24
"10",10,"T2","M-H5","Aquaria","Montipora","Control","Heated",10.9,0.27,0.07,3.19,0.17,0.16,0.33,40.3703703703704,4.71428571428571
"11",11,"T2","P-Dosing","Dosing","Porites","Control","Ambient",9.55,0.39,0.24,6.11,1.56,0.92,2.48,24.4871794871795,10.3333333333333
"12",12,"T2","M-Dosing","Dosing","Montipora","Control","Ambient",15.35,0.58,0.18,2.49,0.58,0.94,1.52,26.4655172413793,8.44444444444444
"13",13,"T3","P-A5","Aquaria","Porites","Control","Ambient",10.51,0.25,0.07,1.83,0.5,0.88,1.38,42.04,19.7142857142857
